Parameter,Unit,Cell 1,
,,T1,T2
BWchannel,MHz,10,
OCNG Patterns defined in A.3.2.2.1 (OP.1 TDD) and in A.3.2.2.2 (OP.2  TDD),,OP.1 TDD,OP.2 TDD
PBCH_RA,dB,0,
PBCH_ RB,dB,,
PSS_ RA,dB,,
SSS_ RA,dB,,
PCFICH_ RB,dB,,
PHICH_ RA,dB,,
PHICH_ RB,dB,,
PDCCH_ RA,dB,,
PDCCH_ RB,dB,,
PDSCH_ RA,dB,,
PDSCH_ RB,dB,,
OCNG_ RA Note1,dB,,
OCNG_ RB Note1,dB,,
,dB,4,
Note 2,dBm/15 kHz,-98,
,dB,4,
RSRP Note 3,dBm/15 kHz,-94,
Propagation Condition,,AWGN,
Note 1: OCNG shall be used such that cell 1 is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2: Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3: RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,
