Parameter,,Unit,Value,
Reference channel,,,CC.1 FDD,CC.2 FDD
Channel bandwidth,,MHz,5,10
Allocated resource blocks,,,1,1
Subcarriers per resource block,,,12,12
DFT-OFDM Symbols per subframe(see Note 1),,,11,11
Modulation,,,QPSK,QPSK
Information Bit Payload,,Bits,41,43
Information bits,Frequency hopping flag,,0,
,RB assignment,,Set as per PSSCH RB allocation specific in the test,
,Time resource pattern (ITRP),,0 (Note 2),
,Modulation and coding scheme,,Set as the PSSCH MCS specified in the test,
,Timing advance indication,,0,
,Group destination ID,,As set by higher layers,
Transport block CRC,,Bits,16,16
Maximum number of HARQ transmissions,,,2,2
Binary Channel Bits (see Note 1),,Bits,264,264
"Note1:PSCCH transmissions are rate-matched for 12 DFT-OFDM symbols per subframe, and the last symbol shall be punctured as per TS 36.211.NOTE 2: For NTRP = 8 (FDD) and trpt-Subset = 001, ITRP = 0 corresponds to a time repetition pattern of (1,0,0,0,0,0,0,0) as per TS 36.213.",,,,
