Information Element,,,Value
discConfig,,,not present
discInterFreqList,carrierFreq,,Note 1
,plmn-IdentityList,,not present
discConfig-v1310,,,
discInterFreqList-v1310,,,
discResourcesNonPS,discRxResourcesInterFreq,cp-Len,Normal
,,discPeriod,rf32
,,numRetx,0
,,numRepetition,1
,,tf-ResourceConfig,
,,prb-Num,12
,,prb-Start,0
,,prb-End,23
,,offsetIndicator,160
,,subframeBitmap,1100000000000000000000000000000000000000
,,txParameters,not present
,,rxParameters,not present
,,rxParamsAddNeighFreq,
,,physCellId,Note 1
,discTxResourcesInterFreq,discTxPoolCommon,
,,cp-Len,Normal
,,discPeriod,rf32
,,numRetx,0
,,numRepetition,1
,,tf-ResourceConfig,
,,prb-Num,2
,,prb-Start,3
,,prb-End,5
,,offsetIndicator,160
,,subframeBitmap,1000000000000000000000000000000000000000
,,txParameters,
,,txParametersGeneral,
,,alpha,al0
,,p0,31
,,ue-SelectedResourceConfig,
,,poolSelection,
,,txProbability,p100
,,rxParameters,not present
,,rxParamsAddNeighFreq,not present
,,txParamsAddNeighFreq,
,,physCellId,Note 1
,,p-Max,23
,,tdd-Config,not present
,,tdd-Config-v1130,not present
,,freqInfo,
,,ul-CarrierFreq,Note 1
,,ul-Bandwidth,n25
,,additionalSpectrumEmission,NS_01
,,referenceSignalPower,Note 2
,,syncConfigIndex,not present
discResourcesPS,,,not present
discConfigOther,txPowerInfo,discMaxTxPower,23
,refCarrierCommon,,not present
,discSyncConfig,,not present
,discCellSelectionInfo,q-RxLevMin,-70 (-140dBm)
,,q-RxLevMinOffset,not present
,,q-Hyst,dB0
,,q-RxLevMinReselection,-70 (-140dBm)
,,t-ReselectionEUTRA,0
gapRequestsAllowedCommon,,,True
discConfigRelay,,,not present
discConfigPS,,,not present
NOTE 1:As specified in the test.NOTE 2:As configured by the test system.,,,
