Parameter,Unit,Cell 2 (UTRA),,
,,T1,T2,T3
UTRA RF Channel Number,,Channel 2,,
CPICH_Ec/Ior,dB,-10,,
PCCPCH_Ec/Ior,dB,-12,,
SCH_Ec/Ior,dB,-12,,
PICH_Ec/Ior,dB,-15,,
OCNS_Ec/Ior,dB,-0.941,,
,dB,-Infinity,11,-5
,"dBm/3,84 MHz",-70,,
CPICH_Ec/Io,dB,-Infinity,-10.33,-16.19
CPICH_RSCP,dBm,-Infinity,-69,-85
Propagation Condition,,AWGN,,
Qqualmin,dB,-20,,
Qrxlevmin,dBm,-115,,
QrxlevminEUTRA,dBm,-140,,
UE_TXPWR_MAX_RACH,dBm,21,,
Treselection,s,0,,
Sprioritysearch1,dB,62,,
Sprioritysearch2,dB,0,,
"Threshserving, low",dB,36,,
"Threshx, low  (Note 1)",dB,50,,
"Note 1 : his refers to the value of  Threshx, low  which is included in UTRA system information, and is a threshold for the E-UTRA target cell",,,,
