Test case,SNR during T3 (dB),,SNR during T4 (dB),
,Test 1,Test 2,Test 1,Test 2
A.7.3.2,-14,-15.7,-9.9,-10.8
A.7.3.4,-14.8,-15.4,-9.9,-10.8
A.7.3.6,-17,N/A,-12.2,N/A
A.7.3.8,-16.6,N/A,-12.6,N/A
A.7.3.11 (cell 1),Note 1,N/A,Note 1,N/A
A.7.3.12 (cell 1),Note 1,N/A,Note 1,N/A
A.7.3.15 (cell 1),Note 1,N/A,Note 1,N/A
A.7.3.16 (cell 1),Note 1,N/A,Note 1,N/A
A.7.3.19 (cell 1),Note 1,N/A,Note 1,N/A
A.7.3.20 (cell 1),Note 1,N/A,Note 1,N/A
A.7.3.21(cell 1),Note 1,N/A,Note 1,N/A
A.7.3.22 (cell 1),Note 1,N/A,Note 1,N/A
A.7.3.24,-15.7,N/A,-10.8,N/A
A.7.3.25,-15.7,N/A,-10.8,N/A
"Note 1:For 4Rx capable UEs without any 2Rx supported RF bands,this test can be skipped.",,,,
