Parameter,,Unit,Value,Comment
Initial condition,Active cell,,Cell2,"UE shall be forced to cell 2 in the initialisation phase, so that reselection to cell 1 occurs during the first T1 phase"
T1 end condition,Active cells,,Cell1,UE shall perform reselection to cell 1 during T1
,Neighbour cell,,Cell2,
Final condition,Active cell,,Cell2,UE shall perform reselection to cell 2 during T3
E-UTRA RF Channel Number,,,"1, 2",Two TDD carrier frequencies are used.
Time offset between cells,,,3 s,Synchronous cells
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Special subframe configuration,,,6,As specified in table 4.2-1 in TS 36.211
Uplink-downlink configuration,,,1,As specified in table 4.2-2 in TS 36.211
PRACH configuration index,,,53,As specified in table 5.7.1-3 in TS 36.211
DRX cycle length,,s,1.28,The value shall be used for all cells in the test.
T1,,s,15,T1 need to be defined so that cell re-selection reaction time is taken into account.
T2,,s,>7,"During T2, cell 2 shall be powered off, and during the off time the physical cell identity shall be changed, The intention is to ensure that cell 2 has not been detected by the UE prior to the start of period T3."
T3,,s,75,T3 need to be defined so that cell re-selection reaction time is taken into account.
