Parameter,Unit,Cell 1,,,Cell 2,,,,,,
,,T1,T2,T3,T1,,T2,,,T3,
E-UTRA RF Channel Number,,1,,,2,,,,,,
BWchannel,MHz,10,,,10,,,,,,
PDSCH Reference Channel in clause A.3.1.4.1,,R.19 TDD,R.19 TDD,-,-,-,,,R.17 TDD,,
MPDCCH Reference Channel in clause A.3.1.3.1,,R.17 TDD,,,R.15 TDD,,,,,,
PCFICH/PDCCH/PHICH Reference Channel in clause A.3.1.2.1,,R.7 TDD,,,R.7 TDD,,,,,,
OCNG Patterns in clause A.3.2.1,,OP.11 TDD,OP.11 TDD,OP.2 TDD,OP.2 TDD,OP.2 TDD,,,OP.11 TDD,,
PBCH_RA,dB,-3,,,-3,,,,,,
PBCH_RB,dB,,,,,,,,,,
PSS_RA,dB,,,,,,,,,,
SSS_RA,dB,,,,,,,,,,
PCFICH_RB,dB,,,,,,,,,,
PHICH_RA,dB,,,,,,,,,,
PHICH_RB,dB,,,,,,,,,,
PDCCH_RA,dB,,,,,,,,,,
PDCCH_RB,dB,,,,,,,,,,
MPDCCH_RA,dB,,,,,,,,,,
MPDCCH_RB,dB,,,,,,,,,,
PDSCH_RA,dB,,,,,,,,,,
PDSCH_RB,dB,,,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,,,
Note 2,dBm/15 KHz,-98,,,-98,,,,,,
,dB,-12,-12,-12,-Infinity,,,-4,,,-4
Note 3,dB,-12,-12,-12,-Infinity,,-4,,,-4,
RSRP Note 3,dBm/15 KHz,-110,-110,-110,-Infinity,,-102,,,-102,
Io Note 3,dBm/9MHz,-69.95,-69.95,-69.95,-Infinity,,-68.76,,,-68.76,
Propagation Condition,,AWGN,,,AWGN,,,,,,
Antenna Configuration,,2x1,,,2x1,,,,,,
Timing offset to Cell 1Synchronous cells,us,-,,,3,,,,,,
"Note 1: OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2: Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:Es/Iot, RSRP and Io level has been derived from other parameters for information purpose. They are not settable parameters themselves.",,,,,,,,,,,
