Parameter,Value,,,Comments
Reference configuration,PRACH_2CE,PRACH_3CE,PRACH_4CE,
Rsrp-ThresholdsPRACH,{-99} dBm,"{-107, -99} dBm","{-107, -99, -92} dBm",As defined in TS36.331
CE level 0:,Configured,Configured,Configured,"Up to 4 CE levels, each corrsesonding to a PRACH configuration"
Prach Configuration Index:,4,4,4,See TS 36.211 section 5.7.1
numRepetitionPerPreambleAttempt:,1,1,1,"Number of PRACH repetitions per attempt for each CE level, See TS 36.211"
prach-HoppingConfig:,off,off,off,Coverage level specific frequency hopping configuration for PRACH
CE level 1:,Configured,Configured,Configured,"Up to 4 CE levels, each corrsesonding to a PRACH configuration"
Prach Configuration Index:,4,4,4,see TS 36.211 section 5.7.1
numRepetitionPerPreambleAttempt:,128,64,32,"Number of PRACH repetitions per attempt for each CE level, See TS 36.211"
prach-HoppingConfig:,off,off,off,Coverage level specific frequency hopping configuration for PRACH
CE level 2:,Not Configured,Configured,Configured,"Up to 4 CE levels, each corrsesonding to a PRACH configuration"
Prach Configuration Index:,-,4,4,see TS 36.211 section 5.7.1
numRepetitionPerPreambleAttempt:,-,128,64,"Number of PRACH repetitions per attempt for each CE level, See TS 36.211"
prach-HoppingConfig:,-,off,off,Coverage level specific frequency hopping configuration for PRACH
CE level 3:,Not Configured,Not Configured,Configured,"Up to 4 CE levels, each corrsesonding to a PRACH configuration"
Prach Configuration Index:,-,-,4,see TS 36.211 section 5.7.1
numRepetitionPerPreambleAttempt:,-,-,128,"Number of PRACH repetitions per attempt for each CE level, See TS 36.211"
prach-HoppingConfig:,-,-,off,Coverage level specific frequency hopping configuration for PRACH
