Parameter,,Unit,Value,,Comment
,,,Test 1,Test 2,
NB-IOT operational mode,,,In-band,,
Initial condition,Active cell,,nCell1,,
,Neighbour cells,,"eCell1, eCell2, nCell2",,
T2 end condition,Active cell,,nCell2,,
,Neighbour cells,,"eCell1, eCell2, nCell1",,
Final condition,Visited cell,,nCell1,,
E-UTRA RF Channel Number,,,1,,One carrier frequency is used for eCell1 and eCell2.
Access Barring Information,,-,Not Sent,,No additional delays in random access procedure.
NPRACH Configuration,,,NPRACH.R-1,,Refer to A.3.18
SSearchDeltaP,,dB,6,,Threshold for relaxed monitoring criterion as specified in 5.2.4.12.1 in [1]
Rmax,,,128,,
maxDurationFactor,,,one4th,,WUS config. Wmax = 32 (=1/4*Rmax)
numPOs,,,n1,,WUS config. Single PO mapped to each WUS occasion
timeOffsetDRX,,,ms40,,WUS config. Gap between the end of WUS duration to the associated PO
numDRX-CycleRelaxed,,,4,,Serving cell RRM measurement is relaxed by
DRX cycle length,,s,0.32,0.64,The value shall be used for all cells in the test.
T1,,s,>30,,"During T1, nCell2 shall be powered off, and during the off time the physical cell identity shall be changed. The intention is to ensure that nCell2 has not been detected by the UE prior to the start of period T2"
T2,,s,37,40,T2 is defined so that cell re-selection time is taken into account.
