Parameter,Unit,eCell 1,,
,,T1,T2,T3
BWchannel,MHz,5 or 10,,
NOCNG Patterns,,BWchannel 5MHz: NOP.4 FDDBWchannel 10MHz: NOP.1 FDD,,
PBCH_RA,dB,0,,
PBCH_RB,dB,,,
PSS_RA,dB,,,
SSS_RA,dB,,,
PCFICH_RB,dB,,,
PDCCH_RA,dB,,,
PDCCH_RB,dB,,,
OCNG_RANote 1,dB,,,
OCNG_RBNote 1,dB,,,
,dBm/15 kHz,-98,,
,dB,4,4,4
Note2,dB,4,4,4
RSRP Note2,dBm/15 kHz,-94,-94,-94
Propagation Condition,,AWGN,,
Antenna Configuration,,1x1,,
Note 1:OCNG shall be used such that the eCell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power .Note 3:Es/Iot and RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,
