Parameter,Unit,Cell 1,,,,,Cell 2,,,,,Cell 3,,,,,Cell 4,,,,
,,T0,T1,T2,T3,T4,T0,T1,T2,T3,T4,T0,T1,T2,T3,T4,T0,T1,T2,T3,T4
E-UTRA RF Channel number,,1,,,,,"Randomly selected from 2,3,4 such that cell 2 is in the normal performance group",,,,,"Randomly selected from 5,6,7,8,9 such that cell 3 is in the reduced performance group",,,,,"Randomly selected from 5,6,7,8,9 such that cell 4 is in the reduced performance group",,,,
BWchannel,MHz,5MHz: NRB = 2510MHz: NRB = 50,,,,,"5MHz: NRB,= 2510MHz: NRB,= 50",,,,,5MHz: NRB = 2510MHz: NRB = 50,,,,,"5MHz: NRB= 2510MHz: NRB, = 50",,,,
OCNG Patterns,,5MHz: OP.10 TDD10MHz: OP.2 TDD,,,,,5MHz: OP.10 TDD10MHz: OP.2 TDD,,,,,5MHz: OP.10 TDD10MHz: OP.2 TDD,,,,,5MHz: OP.10 TDD10MHz: OP.2 TDD,,,,
PBCH_RA,dB,0,,,,,0,,,,,0,,,,,0,,,,
PBCH_RB,dB,,,,,,,,,,,,,,,,,,,,
PSS_RA,dB,,,,,,,,,,,,,,,,,,,,
SSS_RA,dB,,,,,,,,,,,,,,,,,,,,
PCFICH_RB,dB,,,,,,,,,,,,,,,,,,,,
PHICH_RA,dB,,,,,,,,,,,,,,,,,,,,
PHICH_RB,dB,,,,,,,,,,,,,,,,,,,,
PDCCH_RA,dB,,,,,,,,,,,,,,,,,,,,
PDCCH_RB,dB,,,,,,,,,,,,,,,,,,,,
PDSCH_RA,dB,,,,,,,,,,,,,,,,,,,,
PDSCH_RB,dB,,,,,,,,,,,,,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,,,,,,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,,,,,,,,,,,,,
Qrxlevmin,dBm,-140,,,,,-140,,,,,-140,,,,,-140,,,,
Note 2,dBm15 kHz,-98,,,,,-98,,,,,-98,,,,,-98,,,,
,dB,14,8,8,8,14,8,14,8,8,8,8,8,14,8,8,8,8,8,14,8
,dB,14,8,8,8,14,8,14,8,8,8,8,8,14,8,8,8,8,8,14,8
RSRP Note 3,dBm/15 kHz,-84,-90,-90,-90,-84,-90,-84,-90,-90,-90,-90,-90,-84,-90,-90,-90,-90,-90,-84,-90
TreselectionEUTRAN,s,0,,,,,0,,,,,0,,,,,0,,,,
Snonintrasearch,dB,62,,,,,62,,,,,62,,,,,62,,,,
Propagation Condition,,AWGN,,,,,AWGN,,,,,AWGN,,,,,AWGN,,,,
Antenna Configuration,,1x2,,,,,1x2,,,,,1x2,,,,,1x2,,,,
Timing offset to Cell 1,,-,,,,,3ms,,,,,3ms,,,,,3ms,,,,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for   to be fulfilled.Note 3:Es/Iot and RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,,,,,,,,,,,,,,,
