Parameter,Unit,Value,Comment
NB-IoT operational mode,,Standalone,
Reference cell,,nCell 1,"Reference cell is the cell in the OTDOA assistance data with respect to which the RSTD measurement is defined, as specified in TS 36.214 [4] and TS 36.355 [24]. The reference cell is the PCell in this test case."
Neighbor cells,,nCell 2 and nCell 3,"Cell 2 and Cell 3 appear at random places in the neighbour cell list in the OTDOA assistance data, but Cell 2 always appears in the first half of the list, whilst Cell 3 appears in the second half of the list."
nprsID,,(nprsID of Cell 1 – nprsID of Cell 2)mod6=1and(nprsID of Cell 1 – nprsID of Cell 3)mod6=2,As defined in TS36.366 [24]
nprs-period,ms,640,As defined in TS36.355 [24]
nprs-startSF,,sf0,Subframe offset of the NPRS positioning occasion as defined in TS36.355 [24]
Number of consecutive downlink positioning subframesnprs-NumSF,,320,As defined in TS36.355 [24]
nprs-SubframeOffset,,0,As defined in TS36.355 [24]
NPRS muting info,,Cell 1: ‘1111111100000000’Cell 2: ‘0000000011111111’Cell 3: ‘1111111100000000’,Correponds to nprs-MutingInfoB defined in TS 36.355 [24]
PartA Configuration,,N/A,NPRS is configured based on PartB but not PartA.
CP length,,Normal,
NPRACH Configuration,,NPRACH.R-1,Refer to A.3.18
DRX,,1.28,DRX parameters are further specified in Table A.8.12.1.1-3
Radio frame receive time offset between the cells at the UE antenna connector,s,nCell 2 to nCell 1: 1nCell 3 to nCell 1: -1,PRS are transmitted from synchronous cells
Expected RSTD,s,Cell 2: -2 Cell 3: 2Other neighbour cells: randomly between -3 and 3,The expected RSTD is what is expected at the receiver. The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD indicator
Expected RSTD uncertainty for all neighbour cells,s,5,The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD-Uncertainty index
Number of cells provided in OTDOA assistance data,,16,Including the reference cell
T2,s,5.12,The length of the time interval that follows immediately after time interval T1
T3,s,5.12,The length of the time interval that follows immediately after time interval T2
T4,s,5.12,The length of the time interval that follows immediately after time interval T3
T5,s,5.12,The length of the time interval that follows immediately after time interval T4
T6,s,≥ 57,The length of the time interval that follows immediately after time interval T5
