Parameter,,Unit,Value,Comment
Initial condition,Active cell,,Cell 1,E-UTRAN FDD cell
,Neighbour cell,,Cell 2,HRPD cell
Final condition,Active cell,,Cell 2,HRPD cell is selecting during T2
DRX cycle length,,s,1.28,
E-UTRA FDD RF Channel Number,,,1,Only one FDD carrier frequency is used.
E-UTRA FDD Channel Bandwidth (BWchannel),,MHz,10,
HRPD RF Channel Number,,,1,Only one HRPD carrier frequency is used.
E-UTRA FDD PRACH configuration,,,4,As specified in table 5.7.1-2 in TS 36.211
E_UTRA FDD Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
T1,,s,30,
T2,,s,30,
