Parameter,Unit,Test configuration,Value,Comment
Active cell,,"1, 2, 3",Cell 1,
Configured deactivated SCell,,"1, 2, 3",Cell 2,
Neighbour cell,,"1, 2, 3",Cell 3,Cell to be identified.
RF Channel Number,,"1, 2, 3",1: Cell 1,
RF Channel Number,,"1, 2, 3",2: Cell 2 and Cell 3,
NCSG type,,"1, 2, 3",Per-UE NCSG,
NCSG pattern Id,,"1, 2, 3",ID # 0,Defined in table 9.1.9.3-1
NCSG offset,,"1, 2, 3",39,
Measurement gap type,,"1, 2, 3",Per-UE MG,
MG pattern Id,,"1, 2, 3",ID #0,Defined in table 9.1.2-1
Measurement gap offset,,"1, 2, 3",19,
MGTA,ms,"1, 2, 3",0,
SSB configuration,,1,SSB.1 FR1,
,,2,SSB.1 FR1,
,,3,SSB.2 FR1,
SMTC configuration,,1,SMTC.2,
,,2,SMTC.1,
,,3,SMTC.1,
A6-Offset,dB,"1, 2, 3",-4.5,
CP length,,"1, 2, 3",Normal,
Hysteresis,dB,"1, 2, 3",0,
Time To Trigger,s,"1, 2, 3",0,
Filter coefficient,,"1, 2, 3",0,L3 filtering is not used
DRX,,"1, 2, 3",,OFF
SCell measurement cycle (measCycleSCell),ms,"1, 2, 3",640,
Cell 2 timing offset to Cell 1,s,"1, 2, 3",0,
Time alignment error between Cell 2 and Cell 1,s,"1, 2, 3",≤ Time alignment error as specified in TS 38.104 [13] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
Cell 3 timing offset to Cell 1,s,"1, 2, 3",3,Synchronous cells
T1,s,"1, 2, 3",5,
T2,s,"1, 2, 3",7,
