Parameter,,Unit,Test configuration,Cell 1,,,Cell 2,,Cell 3,,
,,,,T1,T2,,T1,T2,T1,T2,
TDD configuration,,,1,N/A,,,N/A,,N/A,,
,,,2,TDDConf.1.1,,,TDDConf.1.1,,TDDConf.1.1,,
,,,3,TDDConf.2.1,,,TDDConf.2.1,,TDDConf.2.1,,
BWchannel,,MHz,"Config 1,2","10: NPRB,c = 52",,,"10: NPRB,c = 52",,"10: NPRB,c = 52",,
,,,3,"40: NPRB,c = 106",,,"40: NPRB,c = 106",,"40: NPRB,c = 106",,
BWP BW,,MHz,"Config 1,2","10: NPRB,c = 52",,,"10: NPRB,c = 52",,"10: NPRB,c = 52",,
,,,3,"40: NPRB,c = 106",,,"40: NPRB,c = 106",,"40: NPRB,c = 106",,
BWP configuration,Initial DL BWP,,"Config 1,2,3",DLBWP.0.1,,,N/A,,N/A,,
,Initial UL BWP,,,ULBWP.0.1,,,N/A,,N/A,,
,Dedicated DL BWP,,,DLBWP.1.1,,,N/A,,N/A,,
,Dedicated UL BWP,,,ULBWP.1.1,,,N/A,,N/A,,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,,"Config 1,2,3",OP.1,,,OP.1,,OP.1,,
PDSCH RMC configuration,,,1,SR.1.1 FDD,,,N/A,,N/A,,
,,,2,SR.1.1 TDD,,,,,,,
,,,3,SR.2.1 TDD,,,,,,,
RMSI CORESET RMC configuration,,,1,CR.1.1 FDD,,,N/A,,N/A,,
,,,2,CR.1.1 TDD,,,N/A,,N/A,,
,,,3,CR.2.1 TDD,,,N/A,,N/A,,
Dedicated CORESET RMC configuration,,,1,CCR.1.1 FDD,,,N/A,,N/A,,
,,,2,CCR.1.1 TDD,,,N/A,,N/A,,
,,,3,CCR.2.1 TDD,,,N/A,,N/A,,
SSB parameters,,,1,SSB.1 FR1,,,SSB.1 FR1,,SSB.1 FR1,,
,,,2,SSB.1 FR1,,,SSB.1 FR1,,SSB.1 FR1,,
,,,3,SSB.2 FR1,,,SSB.2 FR1,,SSB.2 FR1,,
SMTC configuration defined in A.3.11,,,1,SMTC.2,,,SMTC.2,,SMTC.2,,
,,,2,SMTC.1,,,SMTC.1,,SMTC.1,,
,,,3,SMTC.1,,,SMTC.1,,SMTC.1,,
TRS Configuration,,,1,TRS.1.1 FDD,,,N/A,,N/A,,
,,,2,TRS.1.1 TDD,,,N/A,,N/A,,
,,,3,TRS.1.2 TDD,,,N/A,,N/A,,
PRS configuration,,,1,PRS.1.4 FR1,,,N/A,,PRS.1.4 FR1,,
,,,2,PRS.1.4 FR1,,,N/A,,PRS.1.4 FR1,,
,,,3,PRS.2.4 FR1,,,N/A,,PRS.2.4 FR1,,
PRS muting configuation,,,"1, 2, 3",‘10’,,,‘01’,,‘01’,,
PDSCH/PDCCH,,KHz,"1, 2",15,,,,,,,
subcarrier spacing,,,3,30,,,,,,,
Note2,,dBm/15 kHz Note5,1,-98,,,-98,,-98,,
,,,2,-98,,,-98,,-98,,
,,,3,-98,,,-98,,-98,,
Note2,,dBm/SCS Note4,1,-98,,,-98,,-98,,
,,,2,-98,,,-98,,-98,,
,,,3,-95,,,-95,,-95,,
SS-RSRP Note 3,,dBm/SCS Note5,1,-94,-94,,-Infinity,-94,N/A,N/A,
,,,2,-94,-94,,-Infinity,-94,N/A,N/A,
,,,3,-91,-91,,-Infinity,-94,N/A,N/A,
PRS-RSRP Note 3,,dBm/SCS Note5,1,-Infinity,-100,,N/A,N/A,-Infinity,-108,
,,,2,-Infinity,-100,,N/A,N/A,-Infinity,-108,
,,,3,-Infinity,-97,,N/A,N/A,-Infinity,-105,
PRS,,dB,"1,2,3",-Infinity,-2.41,,N/A,N/A,-Infinity,-12.12,
PRS,,dB,"1,2,3",-Infinity,-2,,N/A,N/A,-Infinity,-10,
Io on SSB symbols of each cell Note3,,dBm/9.36 MHz,1,-64.59,,,-70.05,-64.59,-64.59,,
,,dBm/9.36 MHz,2,-64.59,,,-70.05,-64.59,-64.59,,
,,dBm/38.16 MHz,3,-58.49,,,-63.94,-58.49,-58.49,,
Io on PRS symbols of each cellNote3,,dBm/9.36 MHz,1,-70.05,,-67.67,-70.05,N/A,-70.05,,-67.67
,,dBm/9.36 MHz,2,-70.05,,-67.67,-70.05,N/A,-70.05,,-67.67
,,dBm/38.16 MHz,3,-63.94,,-61.57,-63.94,N/A,-63.94,,-61.57
Propagation Condition,,,"1,2,3",AWGN,,,,,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP/PRS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves. The Io values are derived without considering PRS-RSRP.NOTE 4:PRS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:VoidNOTE 6:VoidNOTE 7:Void,,,,,,,,,,,
