Parameter,Config,Unit,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
SSB ARFCN,1~3,,freq1,,freq2,
Duplex mode,1,,FDD,,,
,2,,TDD,,,
,3,,TDD,,,
TDD Configuration,1,,N/A,,,
,2,,TDDConf.1.1,,,
,3,,TDDConf.2.1,,,
BWchannel,1,MHz,"10: NPRB,c = 52",,,
,2,,"10: NPRB,c = 52",,,
,3,,"40: NPRB,c = 106",,,
PDSCH Reference measurement channel,1,,SR.1.1 FDD,,N/A,
,2,,SR.1.1 TDD,,N/A,
,3,,SR.2.1 TDD,,N/A,
RMSI CORESET Reference Channel,1,,CR.1.1 FDD,,N/A,
,2,,CR.1.1 TDD,,N/A,
,3,,CR.2.1 TDD,,N/A,
Dedicated CORESET Reference Channel,1,,CCR.1.1 FDD,,N/A,
,2,,CCR.1.1 TDD,,N/A,
,3,,CCR.2.1 TDD,,N/A,
SSB configuration,1,,SSB.1 FR1,,,
,2,,SSB.1 FR1,,,
,3,,SSB.2 FR1,,,
OCNG Patterns,1~3,,OP.1,,OP.1,
Initial BWP Configuration,1~3,,DLBWP.0.1ULBWP.0.1,,,
Dedicated BWP configuration,1~3,,DLBWP.1.1ULBWP.1.1,,,
SMTC configuration,1~3,,SMTC.1,,,
TRS Configuration,1,,TRS.1.1 FDD,,N/A,
,2,,TRS.1.1 TDD,,N/A,
,3,,TRS.1.2 TDD,,N/A,
EPRE ratio of PSS to SSS,1~3,dB,0,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,
Note2,1~3,dBm/15 kHz,-94.65,,,
Note2,"1,2",dBm/SCS,-94.65,,,
,3,,-91.65,,,
,1~3,dB,0,0,0,8
,1~3,dB,0,0,0,8
SSB RSRP Note3,"1,2",dBm/SSB SCS,-94.65,-94.65,-94.65,-86.65
,3,,-91.65,-91.65,-91.65,-83.65
Io Note3,"1,2",dBm/9.36 MHz,-63.69,-63.69,-63.69,-58.06
,3,dBm/38.16 MHz,-57.59,-57.59,-57.59,-51.97
Propagation condition,1~3,,AWGN,,AWGN,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 4:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves..,,,,,,
