Parameter,Config,Unit,Cell 1,Cell 2,Cell 3,Cell 4
PRS ARFCN,"1,2,3",,freq1,freq1,freq2,freq2
BWchannel,1,MHz,"20: NRB,c = 106",,,
,2,,"20: NRB,c = 106",,,
,3,,"50: NRB,c = 133",,,
Duplex mode,1,,FDD,,,
,2,,TDD,,,
,3,,TDD,,,
TDD configuration,1,,N/A,,,
,2,,TDDConf.1.1,,,
,3,,TDDConf.2.1,,,
PDSCH Reference measurement channel,1,,SR.1.1 FDD,-,-,-
,2,,SR.1.1 TDD,-,-,
,3,,SR.2.1 FDD,-,-,
RMSI CORESET Reference Channel,1,,CR.1.1 FDD,-,-,-
,2,,CR.1.1 TDD,-,-,-
,3,,CR.2.1 FDD,-,-,-
Dedicated CORESET Reference Channel,1,,CCR.1.1 FDD,-,-,-
,2,,CCR.1.1 TDD,-,-,-
,3,,CCR.2.1 TDD,-,-,-
SSB configuration,1,,SSB.1 FR1,,,
,2,,SSB.1 FR1,,,
,3,,SSB.2 FR1,,,
OCNG Patterns,"1,2,3",,OP.1,,,
TRS configuration,1,,TRS.1.1 FDD,-,-,-
,2,,TRS.1.1 TDD,-,-,-
,3,,TRS.1.2 TDD,-,-,-
Initial BWP Configuration,"1,2,3",,DLBWP.0.1ULBWP.0.1,,,
Dedicated BWP configuration,"1,2,3",,DLBWP.1.1ULBWP.1.1,,,
Time offset with Cell 1,1,s,-,3,0,3
,"2,3",,-,3,0,3
PRS configuration,1,,PRS.1.2 FR1,,,
,2,,PRS.1.2 FR1,,,
,3,,PRS.2.2 FR1,,,
PRS Resource slot offset,"1, 2, 3",slot,0,4,0,4
Expected RSTD,"1, 2, 3",s,N/A,3,0,3
Expected RSTD uncertainty,"1, 2, 3",s,N/A,5,0,5
EPRE ratio of PSS to SSS,"1,2,3",dB,0,0,0,0
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,
EPRE ratio of PRS to SSS,"1,2,3",dB,0,0,0,0
Note2,"1,2",dBm/ SCS,-98,,-98,
,3,,-95,,-95,
PRS,"1,2,3",dB,-6,-13,-6,-13
PRPNote3,"1,2",dBm/SCS,-103.45,-109.69,-103.45,-109.69
,3,,-100.45,-106.69,-100.45,-106.69
IoNote3,"1,2",dBm/19.08MHz,-65.64,-65.64,-65.64,-65.64
,3,dBm/47.88MHz,-61.66,-61.66,-61.66,-61.66
PRS,"1,2,3",dB,-5.45,-11.69,-5.45,-11.69
Propagation condition,"1,2,3",-,AWGN,,AWGN,
Antenna configuration,"1,2,3",,1x2,,1x2,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols other than those in the slots with transmitted PRS.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:PRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves. The Io is calculated based only on the symbols in which PRS is transmitted.NOTE 4:RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5: The test configuration excludes support for band n51 and it is not required to run this test on band n51 in this release of the specification.,,,,,,
