Parameter,,Config,Unit,Test 1,,Test 2,
,,,,Cell 1,Cell 2,Cell 1,Cell 2
SSB ARFCN,,1~3,,freq1,freq2,freq1,freq2
Duplex mode,,1,,FDD,,FDD,
,,2,,TDD,,TDD,
,,3,,TDD,,TDD,
Gap Pattern Id,,1~3,,0,,,
Measurement gap offset,,1~3,,39,,,
TDD Configuration,,1,,N/A,,N/A,
,,2,,TDDConf.1.1,,TDDConf.1.1,
,,3,,TDDConf.2.1,,TDDConf.2.1,
BWchannel,,1,MHz,"10: NPRB,c = 52",,"10: NPRB,c = 52",
,,2,,"10: NPRB,c = 52",,"10: NPRB,c = 52",
,,3,,"40: NPRB,c = 106",,"40: NPRB,c = 106",
PDSCH Reference measurement channel,,1,,SR.1.1 FDD,-,SR.1.1 FDD,-
,,2,,SR.1.1 TDD,-,SR.1.1 TDD,-
,,3,,SR.2.1 TDD,-,SR.2.1 TDD,-
RMSI CORESET Reference Channel,,1,,CR.1.1 FDD,-,CR.1.1 FDD,-
,,2,,CR.1.1 TDD,-,CR.1.1 TDD,-
,,3,,CR.2.1 TDD,-,CR.2.1 TDD,-
Dedicated CORESET Reference Channel,,1,,CCR.1.1 FDD,-,CCR.1.1 FDD,-
,,2,,CCR.1.1 TDD,-,CCR.1.1 TDD,-
,,3,,CCR.2.1 TDD,-,CCR.2.1 TDD,-
SSB configuration,,1,,SSB.1 FR1,,SSB.1 FR1,
,,2,,SSB.1 FR1,,SSB.1 FR1,
,,3,,SSB.2 FR1,,SSB.2 FR1,
OCNG Patterns,,1~3,,OP.1,,OP.1,
Initial BWP Configuration,,1~3,,DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
TRS configuration,,1,,TRS.1.1 FDD,-,TRS.1.1 FDD,-
,,2,,TRS.1.1 TDD,-,TRS.1.1 TDD,-
,,3,,TRS.1.2 TDD,-,TRS.1.2 TDD,-
Dedicated BWP configuration,,1~3,,DLBWP.1.1ULBWP.1.1,,DLBWP.1.1ULBWP.1.1,
