Parameter,,Unit,Test configuration,Cell 1,,Cell 2,
,,,,T1,T2,T1,T2
NR RF Channel Number,,,"Config 1,2,3",1,,2,
Duplex mode,,,Config 1,FDD,,,
,,,"Config 2,3",TDD,,,
TDD configuration,,,Config 1,Not Applicable,,,
,,,Config 2,TDDConf.1.1,,,
,,,Config 3,TDDConf.2.1,,,
BWchannel,,MHz,"Config 1,2","10: NPRB,c = 52",,,
,,,Config 3,"40: NPRB,c = 106",,,
BWP BW,,MHz,"Config 1,2","10: NPRB,c = 52",,,
,,,Config 3,"40: NPRB,c = 106",,,
BWP configuration,Initial DL BWP,,"Config 1, 2, 3",DLBWP.0.1,,NA,
,Initial UL BWP,,,ULBWP.0.1,,NA,
,Dedicated DL BWP,,,DLBWP.1.1,,NA,
,Dedicated UL BWP,,,ULBWP.1.1,,NA,
TRS configuration,,,Config 1,TRS.1.1 FDD,,NA,
,,,Config 2,TRS.1.1 TDD,,NA,
,,,Config 3,TRS.1.2 TDD,,NA,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,,"Config 1,2,3",OP.1,,OP.1,
PDSCH Reference measurement channel,,,Config 1,SR.1.1 FDD,,,
,,,Config 2,SR.1.1 TDD,,,
,,,Config 3,SR2.1 TDD,,,
RMSI CORESET Reference Channel,,,Config 1,CR.1.1 FDD,,,
,,,Config 2,CR.1.1 TDD,,,
,,,Config 3,CR2.1 TDD,,,
Dedicated CORESET Reference Channel,,,Config 1,CCR.1.1 FDD,,,
,,,Config 2,CCR.1.1 TDD,,,
,,,Config 3,CCR.2.1 TDD,,,
SSB parameters,,,Config 1,SSB.1 FR1,,SSB.1 FR1,
,,,Config 2,SSB.1 FR1,,SSB.1 FR1,
,,,Config 3,SSB.2 FR1,,SSB.2 FR1,
PDSCH/PDCCH subcarrier spacing,,kHz,"Config 1,2",15,,,
,,,Config 3,30,,,
EPRE ratio of PSS to SSS,,,"Config 1,2,3",0,,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,
Note2,,dBm/15 kHz,,-98,,-98,
Note2,,dBm/SCS,"Config 1,2",-98,,-98,
,,,Config 3,-95,,-95,
SS-RSRP Note 3,,dBm/SCS,"Config 1,2",-94,-94,-Infinity,-91
,,,Config 3,-91,-91,-Infinity,-88
,,dB,"Config 1,2,3,4,5,6",4,4,-Infinity,7
,,dB,"Config 1,2,3",4,4,-Infinity,7
IoNote3,,dBm/9.36 MHz,"Config 1,2",-64.59,-64.59,-70.05,-62.26
,,dBm/38.16 MHz,Config 3,-58.49,-58.49,-63.94,-56.15
Propagation Condition,,,"Config 1,2,3",AWGN,,AWGN,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.,,,,,,,
