Parameter,,Unit,Cell 1,Cell 2,Cell 3
NR RF Channel Number,,,1,1,1
Positiong frequency layer,,,1,1,1
Correlation Matrix and Antenna Configuration,,,12 Low×,12 Low×,12 Low×
OCNG patterns defined in clause A.3.2.1,,,OP.1,N/A,N/A
EPRE ratio of PSS to SSS,,dB,0,N/A,N/A
EPRE ratio of PBCH DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,
Note 3Noc,Config 1,dBm/SCS,-98,,
,Config 2,dBm/SCS,-98,,
,Config 3,dBm/SCS,-95,,
PRS EsNoc,,dB,-Infinity,-Infinity,-Infinity
SSB EsNoc,,dB,10,-Infinity,-Infinity
Io Note 4,Config 1,dBm/19.08MHz,-56.54,-56.54,-56.54
,Config 2,dBm/19.08MHz,-56.54,-56.54,-56.54
,Config 3,dBm/47.88MHz,-52.56,-52.56,-52.56
SSB RP Note4,Config 1,dBm/SCS,-88,-Infinity,-Infinity
,Config 2,dBm/SCS,-88,-Infinity,-Infinity
,Config 3,dBm/SCS,-85,-Infinity,-Infinity
Propagation Condition,,,AWGN,,
NOTE 1: OCNG shall be used such that active cell (Cell 1) is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols other than those in the slots with transmitted PRS. NOTE 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 3: Interference from other cells and noise sources not specified in the test are assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 4: SSB RP and Io levels have been derived from other parameters and are given for information purpose. These are not settable test parameters.Noc,,,,,
