Parameter,Unit,Test configuration,Cell 1,,,Cell 2,,
,,,T1,T2,T3,T1,T2,T3
NR RF Channel Number,,"1,2,3",1,,,2,,
TDD configuration,,1,N/A,,,N/A,,
,,2,TDDConf.1.1,,,TDDConf.1.1,,
,,3,TDDConf.2.1,,,TDDConf.2.1,,
PDSCH RMC,,1,SR.1.1 FDD,,,SR.1.1 FDD,,
configuration,,2,SR.1.1 TDD,,,SR.1.1 TDD,,
,,3,SR.2.1 TDD,,,SR.2.1 TDD,,
RMSI CORESET,,1,CR.1.1 FDD,,,CR.1.1 FDD,,
RMC configuration,,2,CR.1.1 TDD,,,CR.1.1 TDD,,
,,3,CR.2.1 TDD,,,CR.2.1 TDD,,
Dedicated CORESET,,1,CCR.1.1 FDD,,,CCR.1.1 FDD,,
RMC configuration,,2,CCR.1.1 TDD,,,CCR.1.1 TDD,,
,,3,CCR.2.1 TDD,,,CCR.2.1 TDD,,
OCNG Pattern,,"1, 2, 3",OP.1 defined in A.3.2.1,,,OP.1 defined in A.3.2.1,,
Initial DL BWP configuration,,"1, 2, 3",DLBWP.0.1,,,DLBWP.0.1,,
Initial UL BWP configuration,,"1, 2, 3",ULBWP.0.1,,,ULBWP.0.1,,
RLM-RS,,"1, 2, 3",SSB,,,SSB,,
Qrxlevmin,dBm/SCS,"1, 2",-140,,,-140,,
,,3,-137,,,-137,,
Pcompensation,dB,"1, 2, 3",0,,,0,,
Cell_selection_and_reselection_quality_measurement,,"1, 2, 3",SS-RSRP,,,SS-RSRP,,
,dB,1,14,14,14,-infinity,12,12
,,2,,,,,,
,,3,,,,,,
Note2,dBm/SCS,1,-98,,,,,
,,2,-98,,,,,
,,3,-95,,,,,
Note2,dBm/15 kHz,1,-98,,,,,
,,2,,,,,,
,,3,,,,,,
,dB,1,7,7,7,-infinity,0,0
,,2,,,,,,
,,3,,,,,,
ÊsIot,dB,"1, 2, 3",7,7,7,-infinity,0,0
SS-RSRP Note3,dBm/SCS,1,-91,-91,-91,-infinity,-98,-98
,,2,-91,-91,-91,-infinity,-98,-98
,,3,-88,-88,-88,-infinity,-95,-95
Io,dBm/9.36 MHz,1,-62.26,-62.26,-62.26,-70.5,-67.04,-67.04
,dBm/9.36 MHz,2,-62.26,-62.26,-62.26,-70.5,-67.04,-67.04
,dBm/38.16 MHz,3,-56.15,-56.15,-56.15,-63.94,-60.93,-60.93
Treselection,s,"1, 2, 3",0,0,0,0,0,0
SnonintrasearchP,dB,"1, 2, 3",Not sent,,,Not sent,,
Propagation Condition,,"1, 2, 3",AWGN,,,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,,
