Parameter,,Unit,Cell 1,Cell 2,Cell 3,
,,,T2,T2,T2,
NR RF Channel Number Note 5,,,"1,2","1,2","1,2",
Positiong frequency layer (PFL),,,"1,2","1,2","1,2",
Correlation Matrix and Antenna Configuration,,,12 Low×,12 Low×,12 Low×,
OCNG patterns defined in clause A.3.2.1,,,OP.1,OP.1,OP.1,
EPRE ratio of PSS to SSS,,dB,0,0,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,
EPRE ratio of PRS to SSS,,,,,,
PRACH configuration,,,FR1 PRACH configuration 1,FR1 PRACH configuration 1,FR1 PRACH configuration 1,
Note 3Noc,Config 1,dBm/SCS,-98,-98,-98,
,Config 2,dBm/SCS,-98,-98,-98,
,Config 3,dBm/SCS,-95,-95,-95,
PRS  EsNoc,Config 1,dB,-5.45,-11.67,-11.67,
,Config 2,dB,-5.45,-11.67,-11.67,
,Config 3,dB,-5.45,-11.67,-11.67,
Io Note 4,Config 1,dBm/19.08MHz per PFL,-65.43,-65.43,-66.43,
,Config 2,dBm/19.08MHz per PFL,-65.43,-65.43,-66.43,
,Config 3,dBm/47.88MHz per PFL,-61.44,-61.44,-62.44,
PRS  EsIot,,dB,-6,-12.98,-12.98,
Propagation Condition,,,AWGN,,,
"Note 1: OCNG shall be used such that active cells are fully allocated, and a constant total transmitted power spectral density is achieved for all OFDM symbols other than those in the slots with transmitted PRS.Note 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 3: Interference from other cells and noise sources not specified in the test are assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4: SSB RP and Io levels have been derived from other parameters and are given for information purpose. These are not settable test parameters. The Io is calculated based only on the symbols in which PRS is transmitted.Note 5: Carriers are intra-band and contiguous.Noc",,,,,,
