Parameter,Unit,Test configuration,Value,Comment
Active cell,,"1, 2",Cell 1,
RF Channel Number,,"1, 2",1: Cell 1,
SSB configuration,,1,SSB.1 FR1,
,,2,SSB.2 FR1,
SMTC configuration,,1,SMTC.1,
,,2,SMTC.1,
SRS configuration,,1,SRSConf.1,Table A.6.6.6.1.2-3
,,2,SRSConf.2,
CP length,,"1, 2",Normal,
i1-Threshold,dBm,1,-97,
,,2,-95,
Hysteresis,dB,"1, 2",0,
Time To Trigger,s,"1, 2",0,
Filter coefficient,,"1, 2",0,L3 filtering is not used
DRX,,"1, 2",DRX.7,
Time offset between DL from serving cell and SRS from test system,s,"1,2",17.67,
T1,s,"1, 2",5,
T2,s,"1, 2",5,
