Parameter,,,Unit,Test 1,,Test 2,,
,,,,Cell 1,Cell 2,Cell 1,Cell 2,
Cell ID,,,,489,0,489,0,
SSB ARFCN,,,,freq1,,freq1,,
Duplex mode,,Config 1,,FDD,,,,
,,"Config 2,3",,TDD,,,,
TDD configuration,,Config 1,,Not Applicable,,,,
,,Config 2,,TDDConf.1.1,,,,
,,Config 3,,TDDConf.2.1,,,,
BWchannel,,Config 1,MHz,"20: NPRB,c = 106",,,,
,,Config 2,,"20: NPRB,c = 106",,,,
,,Config 3,,"50: NPRB,c = 133",,,,
Downlink initial BWP configuration,,,,DLBWP.0.1,,,,
Downlink dedicated BWP configuration,,,,DLBWP.1.1,,,,
Uplink initial BWP configuration,,,,ULBWP.0.1,,,,
Uplink dedicated BWP configuration,,,,ULBWP.1.1,,,,
TRS configuration,,Config 1,,TRS.1.1 FDD,NA,TRS.1.1 FDD,NA,
,,Config 2,,TRS.1.1 TDD,NA,TRS.1.1 TDD,NA,
,,Config 3,,TRS.1.2 TDD,NA,TRS.1.2 TDD,NA,
DRX Cycle,,,ms,Not Applicable,,,,
Measurement gap,,,,GP#24 or GP#0 Note 7,,,,
PDSCH Reference measurement channel,,Config 1,,SR.1.1 FDD,-,SR.1.1 FDD,-,
,,Config 2,,SR.1.1 TDD,,SR.1.1 TDD,,
,,Config 3,,SR2.1 TDD,,SR2.1 TDD,,
RMSI CORESET Reference Channel,,Config 1,,CR.1.1 FDD,-,CR.1.1 FDD,-,
,,Config 2,,CR.1.1 TDD,,CR.1.1 TDD,,
,,Config 3,,CR2.1 TDD,,CR2.1 TDD,,
Control channel RMC,,Config 1,,CCR.1.1 FDD,-,CCR.1.1 FDD,-,
,,Config 2,,CCR.1.1 TDD,,CCR.1.1 TDD,,
,,Config 3,,CCR2.1 TDD,,CCR2.1 TDD,,
PRS configuration,,Config 1,,PRS.1.3 FR1,PRS.1.3 FR1,PRS.1.4 FR1,PRS.1.4 FR1,
,,Config 2,,PRS.1.3 FR1,PRS.1.3 FR1,PRS.1.4 FR1,PRS.1.4 FR1,
,,Config 3,,PRS.2.3 FR1,PRS.2.3 FR1,PRS.2.4 FR1,PRS.2.4 FR1,
PRS Resource slot offset (slot),,"Config 1,2,3",slot,0,2,0,2,
SSB configuration,,Config 1,,SSB.1 FR1,SSB.1 FR1,SSB.1 FR1,SSB.1 FR1,
,,Config 2,,SSB.1 FR1,SSB.1 FR1,SSB.1 FR1,SSB.1 FR1,
,,Config 3,,SSB.2 FR1,SSB.2 FR1,SSB.2 FR1,SSB.2 FR1,
Time offset with Cell 1,,Config 1,s,-,3,-,3,
,,"Config 2,3",,-,3,-,3,
Expected RSTD,,"Config 1,2,3",s,3,,,,
Expected RSTD uncertainty,,"Config 1,2,3",s,5,,,,
SMTC configuration,,Config 1,,SMTC.2,,,,
,,"Config 2,3",,SMTC.1,,,,
OCNG Patterns,,,,OCNG pattern 1,,,,
PDSCH/PDCCH subcarrier spacing,,"Config 1,2",kHz,15 kHz,,,,
,,Config 3,,30 kHz,,,,
EPRE ratio of PSS to SSS,,,dB,0,0,0,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,
EPRE ratio of PRS to SSS,,,dB,0,0,0,0,
Note2,"Config 1,2",,dBm/15 kHz,-98,,-98,,
,Config 3,,,-98,,-98,,
Note2,"Config 1,2",,dBm/SCS,-98,,-98,,
,Config 3,,,-95,,-95,,
PRS,,,dB,-2.41,-12.12,-2.41,,-12.12
PRS,,,dB,-2,-10,-2,,-10
PRP Note3,"Config 1, 2",,dBm/SCS,-100,-108,-100,,-108
,Config 3,,,-97,-105,-97,,-105
IoNote3,"Config 1,2",,dBm/19.08 MHz,-64.57,,-64.57,,
,Config 3,,dBm/47.88 MHz,-60.59,,-60.59,,
Propagation condition,,,,AWGN,,,,
Antenna configuration,,,,1x2,,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:PRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:PRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:Void.NOTE 6:The test configuration excludes support for band n51 and it is not required to run this test on band n51 in this release of the specificationNOTE 7:GP#24 is configured if UE supports MG#24, otherwise GP#0 is configured.",,,,,,,,
