Parameter,Unit,Test configuration,Value,Comment
,,,,
NR RF Channel Number,,"Config 1,2,3","1, 2, 3",Three FR1 NR carrier frequencies are used.
Active cell,,"Config 1,2,3",NR Cell 1 (PCell),NR Cell 1 is on NR RF channel number 1.
Neighbour cell,,"Config 1,2,3",NR Cell 2 and 3,NR Cell 2 is on NR RF channel number 2. NR cell 3 is on NR RF channel number 3.
NCSG Pattern Id,,"Config 1,2,3",0 for NCSGId #01 for NCSGId #1,As specified in Table 9.1.9.3-1.
NCSG offset,,"Config 1,2,3",39 for NCSGId #04 for NCSGId #1,
A3-Offset,dB,"Config 1,2,3",-6,
Hysteresis,dB,"Config 1,2,3",0,
CP length,,"Config 1,2,3",Normal,
TimeToTrigger,s,"Config 1,2,3",0,
Filter coefficient,,"Config 1,2,3",0,L3 filtering is not used
DRX,,"Config 1,2,3",OFF,DRX is not used
Time offset between Cell 1 and Cell 2,,"Config 1, 2, 3",3 s,Synchronous.The timing of Cell 2 is 3 s later than the timing of Cell 1.
Time offset between Cell 1 and Cell 3,,"Config 1, 2, 3",5 ms,Asynchronous.The timing of Cell 3 is 5 ms later than the timing of Cell 1.
T1,s,"Config 1,2,3",5,
T2,s,"Config 1,2,3",1.5,
