Parameter,Unit,Test configuration,Value,Comment
Active cell,,"1, 2, 3",Cell 1,
Neighbour cell,,"1, 2, 3",Cell 2,Cell to be identified.
RF Channel Number,,"1, 2, 3",1: Cell 1 and Cell 2,
CD-SSB configuration,,1,SSB.1 FR1,
,,2,SSB.1 FR1,
,,3,SSB.2 FR1,
NCD-SSB configuration,,1,SSB.9 FR1,
,,2,SSB.9 FR1,
,,3,SSB.10 FR1,
SMTC configuration for NCD-SSB,,1,SMTC.11,
,,2,SMTC.10,
,,3,SMTC.10,
A3-Offset,dB,"1, 2, 3",-4.5,
CP length,,"1, 2, 3",Normal,
Hysteresis,dB,"1, 2, 3",0,
Time To Trigger,s,"1, 2, 3",0,
Filter coefficient,,"1, 2, 3",0,L3 filtering is not used
DRX,,"1, 2, 3",,OFF
Time offset between serving and neighbour cells,,1,3 ms,Asynchronous cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.
,,2,3 s,Synchronous cells
,,3,3 s,Synchronous cells
T1,s,"1, 2, 3",5,
T2,s,"1, 2, 3",5,
NOTE 1:The starting PRB index of the CD-SSB can be any possible PRB index of the RF channel BW occurring after the last PRB of the DL active BWP.NOTE 2:The starting PRB index of the NCD-SSB can be the same as the starting PRB index for DL active BWP.,,,,
