Parameter,Config,Unit,Cell 1,Cell 2,
PRS ARFCN,"1,2,3",,"freq1, freq2","freq1, freq2",
BWchannel per carrier,1,MHz,"20: NRB,c = 106",,
,2,,"20: NRB,c = 106",,
,3,,"50: NRB,c = 133",,
Duplex mode,1,,FDD,,
,2,,TDD,,
,3,,TDD,,
TDD configuration,1,,N/A,,
,2,,TDDConf.1.1,,
,3,,TDDConf.2.1,,
Measurement gap,"1, 2, 3",,GP#24 or GP#0,,
PDSCH Reference measurement channel,1,,SR.1.1 FDD,,-
,2,,SR.1.1 TDD,,
,3,,SR.2.1 FDD,,
RMSI CORESET Reference Channel,1,,CR.1.1 FDD,,-
,2,,CR.1.1 TDD,,-
,3,,CR.2.1 FDD,,-
Dedicated CORESET Reference Channel,1,,CCR.1.1 FDD,,-
,2,,CCR.1.1 TDD,,-
,3,,CCR.2.1 TDD,,-
SSB configuration,1,,SSB.1 FR1,,
,2,,SSB.1 FR1,,
,3,,SSB.2 FR1,,
OCNG Patterns,"1,2,3",,OP.1,,
TRS configuration,1,,TRS.1.1 FDD,,-
,2,,TRS.1.1 TDD,,
,3,,TRS.1.2 TDD,,
Initial BWP Configuration,"1,2,3",,DLBWP.0.1ULBWP.0.1,,
Dedicated BWP configuration,"1,2,3",,DLBWP.1.1ULBWP.1.1,,
Time offset with Cell 1,1,s,-,,3
,"2,3",,-,,3
SMTC configuration,1,,SMTC.2,,
,"2,3",,SMTC.1,,
PRS configuration,1,,PRS.1.2 FR1,,
,2,,PRS.1.2 FR1,,
,3,,PRS.2.2 FR1,,
PRS Resource slot offset,"1, 2, 3",slot,0,,4
Expected RSTD,"1, 2, 3",s,N/A,,3
Expected RSTD uncertainty,"1, 2, 3",s,N/A,,5
EPRE ratio of PSS to SSS,"1,2,3",dB,0,,0
EPRE ratio of PBCH DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,
EPRE ratio of OCNG DMRS to SSS,,,,,
EPRE ratio of OCNG to OCNG DMRS,,,,,
EPRE ratio of PRS to SSS,"1,2,3",dB,0,,0
Note2Noc,"1,2",dBm/ SCS,-98,,
,3,,-95,,
PRS EsIot,"1,2,3",dB,-6,,-13
PRP,"1,2",dBm/SCS,-103.45,,-109.69
,3,,-100.45,,-106.69
Io,"1,2",dBm/19.08MHz per PFL,-65.64,,-65.64
,3,dBm/47.88MHz per PFL,-61.66,,-61.66
PRS EsNoc,"1,2,3",dB,-5.45,,-5.45
SSB EsNoc,"1,2,3",dB,-5.7,,
Propagation condition,"1,2,3",-,AWGN,,
