Parameter,Unit,Value,Comment
RF Channel Number,,"1,2","Two NR radio channel (1, 2) are used for this test"
PCell,,Cell 1,
SCell,,Cell 2,Cell 2 is the cell configured with OD-SSB
CP length,,Normal,
Cell-individual offset for cells on NR channel number,dB,0,Individual offset for cells on primary component carrier
TDD Configuration,,Config 1,N/A
,,Config 2,TDDConf.1.1
,,Config 3,TDDConf.2.1
BWchannel,MHz,Config 1,"10: NPRB,c = 52"
,,Config 2,"10: NPRB,c = 52"
,,Config 3,"40: NPRB,c = 106"
PDSCH Reference measurement channel,,Config 1,SR.1.1 FDD
,,Config 2,SR.1.1 TDD
,,Config 3,SR.2.1 TDD
RMSI CORESET Reference Channel,,Config 1,CR.1.1 FDD
,,Config 2,CR.1.1 TDD
,,Config 3,CR.2.1 TDD
Dedicated CORESET Reference Channel,,Config 1,CCR.1.1 FDD
,,Config 2,CCR.1.1 TDD
,,Config 3,CCR.2.1 TDD
TRS configuration,,Config 1,TRS.1.1 FDD
,,Config 2,TRS.1.1 TDD
,,Config 3,TRS.1.2 TDD
reportConfigType,,Config 1-3,periodic
reportQuantity,,Config 1-3,ssb-Index-RSRP
Number of reported RS,,Config 1-3,2
,,,
DRX,,OFF,DRX is not used
Time offset between cells,,3 s,The timing of Cell 2 is later than the timing of Cell 1
T1,s,Config 1-3,5
T2,s,Config 1-3,1
