Parameter,Unit,Test configuration,Values,
,,,T1,T2
TDD configuration,,1,N/A,
,,2,TDDConf.1.1,
,,3,TDDConf.2.1,
PDSCH RMC configuration,,1,SR.1.1 FDD,
,,2,SR.1.1 TDD,
,,3,SR.2.1 TDD,
RMSI CORESET RMC configuration,,1,CR.1.1 FDD,
,,2,CR.1.1 TDD,
,,3,CR.2.1 TDD,
Dedicated CORESET RMC configuration,,1,CCR.1.1 FDD,
,,2,CCR.1.1 TDD,
,,3,CCR.2.1 TDD,
OCNG Patterns,,"1, 2, 3",OP.1,
TRS Configuration,,1,TRS.1.1 FDD,
,,2,TRS.1.1 TDD,
,,3,TRS.1.2 TDD,
Initial BWP configuration,,"1, 2, 3",DLBWP.0.1 ULBWP.0.1,
Active DL BWP configuration,,"1, 2, 3",DLBWP.1.1,
Active UL BWP configuration,,"1, 2, 3",ULBWP.1.1,
SRS configuration,,1,PDC-SRS.1,
,,2,PDC-SRS.1,
,,3,PDC-SRS.2,
Note 2,dBm/SCS,1,-98,
,,2,-98,
,,3,-95,
Note 2,dBm/15 kHz,1,-98,
,,2,,
,,3,,
TRS,dB,1,-Infinity,-3
,,2,,
,,3,,
TRS,dB,1,-Infinity,-3
,,2,,
,,3,,
TRS-RSRP Note 3,dBm/SCS kHz,1,-Infinity,-101
,,2,-Infinity,-101
,,3,-Infinity,-98
Io,dBm/9.36 MHz,1,N/A,-68.28
,dBm/9.36 MHz,2,,-68.28
,dBm/38.16 MHz,3,,-62.19
Propagation Condition,,"1, 2, 3",AWGN,
NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:TRS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,
