Parameter,Config,Unit,Test 1,,Test 2,
,,,Cell 1,Cell 2,Cell 1,Cell 2
PRS ARFCN,1~3,,freq1,Freq1,freq1,Freq1
BWchannel,1,MHz,"20: NPRB,c = 106",,"20: NPRB,c = 106",
,2,,"20: NPRB,c = 106",,"20: NPRB,c = 106",
,3,,"50: NPRB,c = 133",,"50: NPRB,c = 133",
Duplex mode,1,,FDD,,FDD,
,2,,TDD,,TDD,
,3,,TDD,,TDD,
TDD configuration,1,,N/A,,N/A,
,2,,TDDConf.1.1,,TDDConf.1.1,
,3,,TDDConf.2.1,,TDDConf.2.1,
PDSCH Reference measurement channel,1,,SR.1.1 FDD,-,SR.1.1 FDD,-
,2,,SR.1.1 TDD,,SR.1.1 TDD,
,3,,SR.2.1 FDD,,SR.2.1 FDD,
RMSI CORESET Reference Channel,1,,CR.1.1 FDD,-,CR.1.1 FDD,-
,2,,CR.1.1 TDD,-,CR.1.1 TDD,-
,3,,CR.2.1 FDD,-,CR.2.1 FDD,-
Dedicated CORESET Reference Channel,1,,CCR.1.1 FDD,-,CCR.1.1 FDD,-
,2,,CCR.1.1 TDD,-,CCR.1.1 TDD,-
,3,,CCR.2.1 TDD,-,CCR.2.1 TDD,-
SSB configuration,1,,SSB.1 FR1,,SSB.1 FR1,
,2,,SSB.1 FR1,,SSB.1 FR1,
,3,,SSB.2 FR1,,SSB.2 FR1,
OCNG Patterns,1~3,,OP.1,,OP.1,
TRS configuration,1,,TRS.1.1 FDD,-,TRS.1.1 FDD,
,2,,TRS.1.1 TDD,,TRS.1.1 TDD,
,3,,TRS.1.2 TDD,,TRS.1.2 TDD,
Initial BWP Configuration,1~3,,DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
Dedicated BWP configuration,1~3,,DLBWP.1.1ULBWP.1.1,,DLBWP.1.1ULBWP.1.1,
Time offset with Cell 1,1,s,-,3,-,3
,"2,3",,-,3,-,3
SMTC configuration,1,,SMTC.2,,SMTC.2,
,"2,3",,SMTC.1,,SMTC.1,
PRS configuration,1,,PRS.1.3 FR1,,PRS.1.4 FR1,
,2,,PRS.1.3 FR1,,PRS.1.4 FR1,
,3,,PRS.2.3 FR1,,PRS.2.4 FR1,
PRS BW,"1,2",,52 PRBs,,-,
,3,,48 PRBs,,-,
PRS muting info,1~3,,‘10’,‘01’,‘10’,‘01’
Expected RSTD,"1, 2, 3",s,N/A,3,N/A,3
Expected RSTD uncertainty,"1, 2, 3",s,N/A,5,N/A,5
EPRE ratio of PSS to SSS,1~3,dB,0,0,0,0
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,
Note2,"1,2",dBm/ SCS,-98,,-98,
,3,,-95,,-95,
,1~3,dB,-3,-6,-3,-6
PRS-RSRPNote3,"1,2",dBm/SCS,-99.44,-101.65,-99.44,-101.65
,3,,-96.44,-98.65,-96.44,-98.65
SS-RSRPNote3,"1,2",dBm/SCS,-99.44,-101.65,-99.44,-101.65
,3,,-96.44,-98.65,-96.44,-98.65
IoNote3,"1,2",dBm/19.08 MHz,-63.63,-63.63,-63.63,-63.63
,3,dBm/47.88 MHz,-59.65,-59.65,-59.65,-59.65
,1~3,dB,-1.44,-3.65,-1.44,-3.65
Propagation condition,1~3,-,AWGN,,AWGN,
Antenna configuration,1~3,,1x2,,1x2,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:The test configuration excludes support for band n51 and it is not required to run this test on band n51 in this release of the specification.,,,,,,
