Parameter,Unit,Test configuration,Value,Comment
Active cell,,1,Cell 1,
Neighbour cell,,1,Cell 2,Cell to be identified.
RF Channel Number,,1,1: Cell 1 and Cell 2,
Measurement gap type,,1,Per-UE gaps,
Measurement gap repitition periodicity,ms,1,40,
Measurement gap length,ms,1,6,
Measurement gap offset,ms,1,39,
SSB configuration,,1,SSB.1 FR1,
SMTC configuration,,1,SMTC.2,
CSI-RS parameters,,1,CSI-RS.1.2 FDD resource #0,
A3-Offset,dB,1,-4.5,
CP length,,1,Normal,
Hysteresis,dB,1,0,
Time To Trigger,s,1,0,
Filter coefficient,,1,0,L3 filtering is not used
DRX,ms,1,,OFF
Time offset between serving and neighbour cells,,1,3 ms,Asynchronous cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.
T1,s,1,5,
T2,s,1,5,
