Parameter,Unit,Test configuration,Cell 1,,,,Cell 2,,
,,,T1,T2,T3,,T1,T2,T3
TDD configuration,,1,N/A,,,,N/A,,
,,2,TDDConf.1.1,,,,TDDConf.1.1,,
,,3,TDDConf.2.1,,,,TDDConf.2.1,,
PDSCH RMC configuration,,1,SR.1.1 FDD,,,,N/A,,
,,2,SR.1.1 TDD,,,,,,
,,3,SR.2.1 TDD,,,,,,
RMSI CORESET RMC configuration,,1,CR.1.1 FDD,,,,N/A,,
,,2,CR.1.1 TDD,,,,N/A,,
,,3,CR.2.1 TDD,,,,N/A,,
Dedicated CORESET RMC configuration,,1,CCR.1.2 FDD,,,,N/A,,
,,2,CCR.1.2 TDD,,,,N/A,,
,,3,CCR.2.1 TDD,,,,N/A,,
OCNG Patterns,,"1, 2, 3",OP.1,,,,OP.1,,
TRS configuration,,1,TRS.1.1 FDD,,,,N/A,,
,,2,TRS.1.1 TDD,,,,N/A,,
,,3,TRS.1.2 TDD,,,,N/A,,
Initial BWP configuration,,"1, 2, 3",DLBWP.0.1 ULBWP.0.1,,,,N/A,,
Active DL BWP configuration for BWP-1,,"1, 2, 3",DLBWP.1.3,,,,N/A,,
Active UL BWP configuration for BWP-1,,"1, 2, 3",ULBWP.1.3,,,,N/A,,
Active DL BWP configuration for BWP-2,,"1, 2, 3",DLBWP.1.2,,,,N/A,,
Active UL BWP configuration for BWP-2,,"1, 2, 3",ULBWP.1.2,,,,N/A,,
RLM-RS,,"1, 2, 3",CSI-RS,,,,N/A,,
Note 2,dBm/SCS,1,-98,,,,,,
,,2,-98,,,,,,
,,3,-95,,,,,,
Note 2,dBm/15 kHz,1,-98,,,,,,
,,2,,,,,,,
,,3,,,,,,,
,dB,"1,2,3",4,4,,-1.46,-Infinity,-Infinity,-1.46
,dB,"1,2,3",4,4,,4,-Infinity,-Infinity,4
SS-RSRP Note 3,dBm/SCS kHz,"1,2",-94,-94,,-94,-Infinity,-Infinity,-94
,,3,-91,-91,,-91,-Infinity,-Infinity,-91
Io,dBm/9.36 MHz,"1,2",-64.60,-64.60,,-62.25,-64.60,-64.60,-62.25
,dBm/38.16 MHz,3,-58.50,-58.50,,-56.16,-58.50,-58.50,-56.16
Propagation Condition,,"1, 2, 3",AWGN,,,,,,
NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2 and T4.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,,,
