Parameter,Unit,Test configuration,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
TDD configuration,,1,N/A,,N/A,
,,2,TDDConf.1.1,,TDDConf.1.1,
,,3,TDDConf.2.1,,TDDConf.2.1,
PDSCH RMC configuration,,1,SR.1.1 FDD,,N/A,
,,2,SR.1.1 TDD,,,
,,3,SR.2.1 TDD,,,
RMSI CORESET RMC configuration,,1,CR.1.1 FDD,,N/A,
,,2,CR.1.1 TDD,,,
,,3,CR.2.1 TDD,,,
Dedicated CORESET RMC configuration,,1,CCR.1.1 FDD,,N/A,
,,2,CCR.1.1 TDD,,,
,,3,CCR.2.1 TDD,,,
OCNG Patterns,,"1, 2, 3",OP.1,,OP.1,
TRS Configuration,,1,TRS.1.1 FDD,,N/A,
,,2,TRS.1.1 TDD,,,
,,3,TRS.1.2 TDD,,,
Initial BWP configuration,,"1, 2, 3",DLBWP.0.1 ULBWP.0.1,,N/A,
PRS configuration Note 5,,1,PRS.1.2 FR1,,PRS.1.2 FR1,
,,2,PRS.1.2 FR1,,PRS.1.2 FR1,
,,3,PRS.2.2 FR1,,PRS.2.2 FR1,
PRS Resource slot offset,slots,"1, 2, 3",0,,0,
PRS muting info,,"1, 2, 3",‘10’,,‘01’,
Note 2,dBm/SCS,1,-98,,,
,,2,-98,,,
,,3,-95,,,
Note 2,dBm/15 kHz,1,-98,,,
,,2,,,,
,,3,,,,
PRS,dB,1,-Infinity,0,-Infinity,-6
,,2,,,,
,,3,,,,
PRS,dB,1,-Infinity,2.23,-Infinity,-1.73
,,2,,,,
,,3,,,,
PRS-RSRP Note 3,dBm/SCS kHz,1,-Infinity,-95.77,-Infinity,-99.73
,,2,-Infinity,-95.77,-Infinity,-99.73
,,3,-Infinity,-92.77,-Infinity,-96.73
SS-RSRP Note 3,dBm/SCS kHz,1,-98,-98,-Infinity,-98
,,2,-98,-98,-Infinity,-98
,,3,-95,-95,-Infinity,-95
Io Note 3,dBm/19.08 MHz,1,N/A,-61.71,N/A,-61.71
,dBm/19.08 MHz,2,,-61.71,,-61.71
,dBm/47.88 MHz,3,,-57.73,,-57.73
Propagation Condition,,"1, 2, 3",AWGN,,,
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP/PRS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves. Io levels apply only for symbols where PRS is transmitted.NOTE 4: OCNG shall be used such that all active cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols, except for slots where PRS is transmitted by any of the cells.NOTE 5: Void.",,,,,,
