Parameter,Unit,Test configuration,Test 1,
,,,Cell 1,Cell 2
RF Channel Number,,"1,2,3",1,1
DRX cycle,,"1,2,3",1.28 s,
Time offset with Cell 1,s,"1, 2, 3",N/A,3
TDD configuration,,1,N/A,N/A
,,2,TDDConf.1.1,TDDConf.1.1
,,3,TDDConf.2.1,TDDConf.2.1
PDSCH RMC configuration,,1,SR.1.1 FDD,N/A
,,2,SR.1.1 TDD,
,,3,SR.2.1 TDD,
RMSI CORESET RMC configuration,,1,CR.1.1 FDD,N/A
,,2,CR.1.1 TDD,
,,3,CR.2.1 TDD,
Dedicated CORESET RMC configuration,,1,CCR.1.1 FDD,N/A
,,2,CCR.1.1 TDD,
,,3,CCR.2.1 TDD,
OCNG Patterns,,"1, 2, 3",OP.1,OP.1
EPRE ratio of PSS to SSS,dB,"1, 2, 3",0,0
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,
EPRE ratio of PRS to SSS,,,,
TRS Configuration,,1,TRS.1.1 FDD,N/A
,,2,TRS.1.1 TDD,
,,3,TRS.1.2 TDD,
Initial BWP configuration,,"1, 2, 3",DLBWP.0.1 ULBWP.0.1,N/A
PRS configuration,,1,PRS.1.1 FR1,PRS.1.1 FR1
,,2,PRS.1.1 FR1,PRS.1.1 FR1
,,3,PRS.2.1 FR1,PRS.2.1 FR1
PRS BW,,1,52 PRBs,52 PRBs
,,2,52 PRBs,52 PRBs
,,3,48 PRBs,48 PRBs
PRS Resource slot offset,slot,"1, 2, 3",0,4
SRS configuration,,1,POS-SRS.1,N/A
,,2,POS-SRS.1,N/A
,,3,POS-SRS.2,N/A
Note 2,dBm/SCS,1,-98,
,,2,-98,
,,3,-95,
Note 2,dBm/15 kHz,1,-98,
,,2,,
,,3,,
PRS,dB,1,0,-6
,,2,,
,,3,,
PRS,dB,1,2.23,-1.73
,,2,,
,,3,,
PRP Note 3,dBm/SCS kHz,1,-95.77,-99.73
,,2,-95.77,-99.73
,,3,-92.77,-96.73
Io,dBm/19.08 MHz,1,-61.71,-61.71
,dBm/19.08 MHz,2,-61.71,-61.71
,dBm/47.88 MHz,3,-57.73,-57.73
Propagation Condition,,"1, 2, 3",AWGN,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:PRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,
