Parameter,,Unit,Test configuration,Cell 1,,Cell 2,,
,,,,T1,T2,T1,T2,
NR RF Channel Number,,,Config 1-6,1,,2,,
Duplex mode,,,"Config 1, 4",FDD,,FDD,,
,,,"Config 2, 3, 5, 6",TDD,,TDD,,
TDD configuration,,,"Config 1, 4",Not Applicable,,Not Applicable,,
,,,"Config 2, 5",TDDConf.1.1,,TDDConf.1.1,,
,,,"Config 3, 6",TDDConf.2.1,,TDDConf.2.1,,
BWchannel,,MHz,"Config 1, 4","10: NPRB,c = 52",,"10: NPRB,c = 52",,
,,,"Config 2, 5","10: NPRB,c = 52",,"10: NPRB,c = 52",,
,,,"Config 3, 6","40: NPRB,c = 106",,"40: NPRB,c = 106",,
BWP configuration,Initial DL BWP,,Config 1-6,DLBWP.0.1,,N/A,,
,Initial UL BWP,,,ULBWP.0.1,,N/A,,
,Dedicated DL BWP,,,DLBWP.1.1,,N/A,,
,Dedicated UL BWP,,,ULBWP.1.1,,N/A,,
CSI-RS for tracking parameters on NR RF Channel 1,,,"Config 1, 4",TRS.1.1 FDD,,,,
,,,"Config 2, 5",TRS.1.1 TDD,,,,
,,,"Config 3, 6",TRS.1.2 TDD,,,,
OCNG Patterns,,,Config 1-6,OP.1,,OP.1,,
PDSCH Reference,,,"Config 1, 4",SR.1.1 FDD,,-,,
measurement channel,,,"Config 2, 5",SR.1.1 TDD,,,,
,,,"Config 3, 6",SR.2.1 TDD,,,,
RMSI CORESET Reference,,,"Config 1, 4",CR.1.1 FDD,,-,,
Channel,,,"Config 2, 5",CR.1.1 TDD,,,,
,,,"Config 3, 6",CR.2.1 TDD,,,,
Dedicated CORESET RMC configuration,,,"Config 1, 4",CCR.1.1 FDD,,-,,
,,,"Config 2, 5",CCR.1.1 TDD,,,,
,,,"Config 3, 6",CCR.2.1 TDD,,,,
SMTC configuration,,,"Config 1, 4",SMTC.2,,SMTC.2,,
,,,"Config 2, 3, 5, 6",SMTC.1,,SMTC.1,,
SSB configuration,,,"Config 1, 4",SSB.1 FR1,,SSB.1 FR1,,
,,,"Config 2, 5",SSB.1 FR1,,SSB.1 FR1,,
,,,"Config 3, 6",SSB.2 FR1,,SSB.2 FR1,,
PDSCH/PDCCH subcarrier spacing,,kHz,"Config 1, 2, 4, 5",15,,15,,
,,,"Config 3, 6",30,,30,,
b2-Threshold1,,dBm,"Config 1, 2, 4, 5",-81,,-,,
,,,"Config 3, 6",-78,,-,,
EPRE ratio of PSS to SSS,,,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,Config 1-6,0,,0,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,
Noc note2,,dBm/15 KHz,1-6,-98,,,,
Noc note2,,dBm/SCS,"Config 1, 2, 4, 5",-98,,,,
,,,"Config 3, 6",-95,,,,
Ês/Noc,,dB,Config 1 - 6,4,,-Infinity,,4
Ês/Iot note3,,dB,Config 1 - 6,4,,-Infinity,,4
SSB_RP note3,,dBm/SCS,"Config 1, 2, 4, 5",-94,,-Infinity,,-94
,,,"Config 3, 6",-91,,-Infinity,,-91
Io note3,,dBm/9.36 MHz,"Config 1, 2, 4, 5",-64.59,,-70.05,,-64.59
,,dBm/38.16 MHz,"Config 3, 6",-58.49,,-63.94,,-58.49
Propagation condition,,,Config 1 - 6,AWGN,,,,
Antenna Configuration and Correlation Matrix,,,Config 1 - 6,1x2,,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS B_RP, Es/Iot and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:VoidNOTE 6:VoidNOTE 7:VoidNOTE 8:Void",,,,,,,,
