Parameter,Unit,Test configuration,Cell 1,,Cell 2,
,,,Sub-test 1,Sub-test 2,Sub-test 1,Sub-test 2
TDD configuration,,1,N/A,,N/A,
,,2,TDDConf.1.1,,TDDConf.1.1,
,,3,TDDConf.2.1,,TDDConf.2.1,
PDSCH RMC configuration,,1,SR.1.1 FDD,,N/A,
,,2,SR.1.1 TDD,,,
,,3,SR.2.1 TDD,,,
RMSI CORESET RMC configuration,,1,CR.1.1 FDD,,N/A,
,,2,CR.1.1 TDD,,,
,,3,CR.2.1 TDD,,,
Dedicated CORESET RMC configuration,,1,CCR.1.1 FDD,,N/A,
,,2,CCR.1.1 TDD,,,
,,3,CCR.2.1 TDD,,,
OCNG Patterns,,"1, 2, 3",OP.1,,OP.1,
TRS Configuration,,1,TRS.1.1 FDD,,N/A,
,,2,TRS.1.1 TDD,,,
,,3,TRS.1.2 TDD,,,
Initial BWP configuration,,"1, 2, 3",DLBWP.0.1 ULBWP.0.1,,N/A,
Active DL BWP configuration,,"1, 2, 3",DLBWP.1.1,,N/A,
Active UL BWP configuration,,"1, 2, 3",ULBWP.1.1,,N/A,
PRS configuration,,1,PRS.1.4 FR1,,PRS.1.4 FR1,
,,2,PRS.1.4 FR1,,PRS.1.4 FR1,
,,3,PRS.2.4 FR1,,PRS.2.4 FR1,
PRS muting info,,"1, 2, 3",‘10’,,‘01’,
Note 2,dBm/SCS,1,-98,,,
,,2,-98,,,
,,3,-95,,,
Note 2,dBm/15 kHz,1,-98,,,
,,2,,,,
,,3,,,,
PRS,dB,1,-2.41,0,-12.12,-6
,,2,,,,
,,3,,,,
PRS,dB,1,-2,2.23,-10,-1.72
,,2,,,,
,,3,,,,
PRS-RSRP Note 3,dBm/SCS kHz,1,-100,-95.77,-108,-99.73
,,2,-100,-95.77,-108,-99.73
,,3,-97,-92.77,-105,-96.73
SS-RSRP Note 3,dBm/SCS kHz,1,-100,-100,-104,-104
,,2,-100,-100,-104,-104
,,3,-97,-97,-101,-101
Io,dBm/19.08 MHz,1,-64.57,-61.71,-64.57,-61.71
,dBm/19.08 MHz,2,-64.57,-61.71,-64.57,-61.71
,dBm/47.88 MHz,3,-60.59,-57.73,-60.59,-57.73
Propagation Condition,,"1, 2, 3","Two-tap channel defined in 38.101-4 annex B.2.4, a = 1,  µs and  Hzτd=0.45fD=5",,,
NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP/PRS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,
