Parameter,Unit,Config,Test 1,,,,
,,,Cell 1,,,,
,,,T1,T2,T3,T4,T5
AoA setup,,"1,2,3,4",N/A,,,,
Assumption for UE beams Note 5R: Rough,,"1,2,3,4",N/A,N/A,R,R,N/A
Frequency Range,,"1,2,3,4",FR1,,,,
Duplex mode,,"1, 2",FDD,,,,
,,"3, 4",TDD,,,,
TDD Confguration1: TDDConf.1.12: TDDConf.2.1,,"1,2",-,,,,
,,"3,4",1,1,2,2,1
"BWchannel1: 10: NPRB,c = 522: 40: NPRB,c = 106",MHz,"1, 2",1,1,-,-,1
,,"3, 4",2,2,-,-,2
Initial Downlink BWP configuration,,"1,2,3,4",DLBWP.0.1,,,,
Initial Uplink BWP configuration,,"1,2,3,4",ULBWP.0.1,,,,
Dedicated Downlink BWP configuration1: DLBWP.1.1,,"1,2,3,4",1,1,-,-,1
Dedicated Uplink BWP configuration1: ULBWP.1.1,,"1,2,3,4",1,1,-,-,1
PDSCH Reference Measurement Channel1: SR.1.1 FDD2: SR.2.1 TDD,FDD,"1,2",1,1,1,1,1
,TDD,"3,4",2,2,2,2,2
TRS configuration,,"1,2,3,4",-,,,,
TCI state,,"1,2,3,4",-,,,,
RMSI CORESET parameters,FDD,"1,2",CR.1.1 FDD,,,,
,TDD,"3,4",CR.2.1 TDD,,,,
Dedicated CORESET parameters,FDD,"1,2",CCR.1.1 FDD,,,,
,TDD,"3,4",CCR.2.1 TDD,,,,
OCNG PatternsNote1,,"1,2,3,4",OP.1 defined in A.3.2.1,,,,
SSB configuration1: SSB.1 FR12: SSB.2 FR1,,"1,2",1,,,,
,,"3,4",2,,,,
SMTC configuration,,"1,2,3,4",SMTC.2,,,,
Correlation Matrix and Antenna config,,"1,2,3,4",1x2 Low,,,,
EPRE ratio of PSS to SSS,dB,"1,2,3,4",0,0,-,-,0
EPRE ratio of PBCH DMRS to SSS,,,0,0,-,-,0
EPRE ratio of PBCH to PBCH DMRS,,,0,0,-,-,0
EPRE ratio of PDCCH DMRS to SSS,,,0,0,-,-,0
EPRE ratio of PDCCH to PDCCH DMRS,,,0,0,-,-,0
EPRE ratio of PDSCH DMRS to SSS,,,0,0,-,-,0
EPRE ratio of PDSCH to PDSCH,,,0,0,-,-,0
EPRE ratio of OCNG DMRS to SSS,,,0,0,-,-,0
Noc Note2,dBm/ 15 kHz,"1,2",-98,-98,-98,-98,-98
,,"3,4",,,,,
Noc Note2,dBm/SCS,"1,2",-98,-98,-98,-98,-98
,,"3,4",-95,-95,-95,-95,-95
Ês/Iot,dB,"1,2,3,4",5,5,5,5,5
Ês/Noc,dB,"1,2,3,4",5,5,5,5,5
"SS-RSRPNote3,4",dBm/SCS,"1,2",-93,-93,-93,-93,-93
,,"3,4",-90,-90,-90,-90,-90
"IoNote3,4",dBm/9.36 MHz,"1,2",-63.85,-63.85,-63.85,-63.85,-63.85
,dBm/38.16 MHz,"3,4",-57.76,-57.76,-57.76,-57.76,-57.76
Qrxlevmin,dBm/SCS,"1, 2",-,-,-140,,-
,,"3, 4",-,-,-137,,-
Pcompensation,dB,"1,2,3,4",-,-,0,0,-
Qhysts,dB,"1,2,3,4",-,-,0,0,-
"Qoffsets, n",dB,"1,2,3,4",-,-,0,0,-
Cell_selection_and_reselection_quality_measurement,,"1,2,3,4",SS-RSRP,,,,
Treselection,s,"1,2,3,4",-,,0,,-
SnonintrasearchP,dB,"1,2,3,4",-,,Not Sent,,-
SnonintrasearchQ,dB,"1,2,3,4",-,,Not Sent,,-
"Threshx, high",dB,"1,2,3,4",-,,48,,-
"Threshserving, low",dB,"1,2,3,4",-,,44,,-
"Threshx, low",dB,"1,2,3,4",-,,50,,-
Propagation Condition,dB,"1,2,3,4",-,,AWGN,,-
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SSB_RP minimum requirements are specified assuming independent interference and noise at each  receiver antenna port.,,,,,,,
