Parameter,,Config,Unit,Test 1,Test 2
SSB ARFCN,,1,,freq1,freq1
Duplex mode,,1,,TDD,TDD
TDD configuration,,1,,TDDConf.2.4,TDDConf.2.4
SBFD configuration,,1,,SBFD.1 FR1,SBFD.1 FR1
BWchannel_total,,1,MHz,"100: NPRB,c = 273","100: NPRB,c = 273"
PDSCH Reference measurement channel,,1,,SR.2.1 TDD,SR.2.1 TDD
RMSI CORESET Reference Channel,,1,,CR.2.1 TDD,CR.2.1 TDD
Dedicated CORESET Reference Channel,,1,,CCR.2.1 TDD,CCR.2.1 TDD
SSB configuration,,1,,SSB.24 FR1,SSB.24 FR1
OCNG Patterns,,1,,OP.1,OP.1
TRS configuration,,1,,TRS.1.2 TDD,TRS.1.2 TDD
Initial BWP Configuration,,1,,DLBWP.0.1ULBWP.0.1,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,,1,,DLBWP.1.1ULBWP.1.1,DLBWP.1.1ULBWP.1.1
SMTC configuration,,1,,SMTC.1,SMTC.1
Time offset between DL from serving cell and SRS from test system,,1,s,17.67,17.67
EPRE ratio of PSS to SSS,,1,dB,0,0
EPRE ratio of PBCH DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,
Note2,NR_TDD_FR1_A NOTE 3,1,dBm/15 kHz,-101,-114
,NR_TDD_FR1_C,,,,-113
,NR_TDD_FR1_D,,,,-112.5
,NR_TDD_FR1_E,,,,-112
Note2,NR_TDD_FR1_A NOTE 3,1,dBm/SRS SCS,-98,-111
,NR_TDD_FR1_C,,,,-110
,NR_TDD_FR1_D,,,,-109.5
,NR_TDD_FR1_E,,,,-109
NOTE 1:OCNG shall be used such that a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled. In this test Noc is transmitted in PRBs in UL subband in additional to PRBs in DL subband(s).NOTE 3: The test configuration excludes support for band n51 and it is not required to run this test on band n51 in this release of the specification.,,,,,
