Parameter,,,Unit,Test 1,,Test 2,,,Test 3,,
,,,,Cell 1,Cell 2,Cell 1,Cell 2,,Cell 1,,Cell 2
SSB ARFCN,,,,freq1,freq2,freq1,freq2,,freq1,,freq2
Duplex mode,,Config 1,,FDD,,,,,,,
,,"Config 2,3",,TDD,,,,,,,
TDD configuration,,Config 1,,Not Applicable,,,,,,,
,,Config 2,,TDDConf.1.1,,,,,,,
,,Config 3,,TDDConf.2.1,,,,,,,
BWchannel,,Config 1,MHz,"10: NPRB,c = 52",,,,,,,
,,Config 2,,"10: NPRB,c = 52",,,,,,,
,,Config 3,,"40: NPRB,c = 106",,,,,,,
Gap pattern ID,,"Config 1,2,3",,0,,,,,,,
BWP BW,,Config 1,,"10: NPRB,c = 52",,,,,,,
,,Config 2,,"10: NPRB,c = 52",,,,,,,
,,Config 3,,"40: NRB,c = 106",,,,,,,
DRX Cycle,,,ms,Not Applicable,,,,,,,
PDSCH Reference measurement channel,,"Config 1,4",,SR.1.1 FDD,-,SR.1.1 FDD,-,,SR.1.1 FDD,,-
,,"Config 2,5",,SR.1.1 TDD,,SR.1.1 TDD,,,SR.1.1 TDD,,
,,"Config 3,6",,SR2.1 TDD,,SR2.1 TDD,,,SR2.1 TDD,,
RMSI CORESET Reference Channel,,Config 1,,CR.1.1 FDD,-,R.1.1 FDD,-,,CR.1.1 FDD,,
,,Config 2,,CR.1.1 TDD,,CR.1.1 TDD,,,CR.1.1 TDD,,
,,Config 3,,CR2.1 TDD,,CR2.1 TDD,,,CR2.1 TDD,,
Dedicated CORESET Reference Channel,,Config 1,,CCR.1.1 FDD,-,CCR.1.1 FDD,-,,CCR.1.1 FDD,,-
,,Config 2,,CCR.1.1 TDD,,CCR.1.1 TDD,,,CCR.1.1 TDD,,
,,Config 3,,CCR2.1 TDD,,CCR2.1 TDD,,,CCR2.1 TDD,,
TRS Configuration,,Config 1,,TRS.1.1 FDD,-,TRS.1.1 FDD,-,,TRS.1.1 FDD,,-
,,Config 2,,TRS.1.1 TDD,,TRS.1.1 TDD,,,TRS.1.1 TDD,,
,,Config 3,,TRS.1.2 TDD,,TRS.1.2 TDD,,,TRS.1.2 TDD,,
OCNG Patterns,,,,OCNG pattern 1,,,,,,,
Time offset with Cell 1,,Config 1,ms,-,3,-,3,-,,3,
,,"Config 2,3",s,-,3,-,3,-,,3,
SMTC configuration,,Config 1,,SMTC pattern 2,,,,,,,
,,"Config 2,3",,SMTC pattern 1,,,,,,,
SSB configuration,,"Config 1,2",,SSB pattern 1 in FR1,,,,,,,
,,Config 3,,SSB pattern 2 in FR1,,,,,,,
CSI-RS for tracking,,Config 1,,TRS.1.1 FDD,,,,,,,
,,Config 2,,TRS.1.1 TDD,,,,,,,
,,Config 3,,TRS.1.2 TDD,,,,,,,
PDSCH/PDCCH subcarrier spacing,,"Config 1,2",kHz,15 kHz,,,,,,,
,,Config 3,,30 kHz,,,,,,,
EPRE ratio of PSS to SSS,,,dB,0,0,0,0,,0,,0
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,,,
Note2,"Config 1,2",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/15 kHz,-80.18,,-106,,,-116,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,-115.5,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,-115,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,,-114.5,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,,-114,,
,,NR_FDD_FR1_F,,,,,,,-113.5,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,-113,,
,,NR_FDD_FR1_H,,,,,,,-112.5,,
,,NR_FDD_FR1_N,,,,,,,-109.5,,
Note2,Config 3,NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/15 kHz,-86.27,,-113,,,-116,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,-115.5,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,-115,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,,-114.5,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,,-114,,
