Parameter,Unit,Test configuration,Value,Comment
NR RF Channel Number,,1 - 6,"1, 2",2 NR carrier frequency is used in the test.
LTE RF Channel Number,,,3,1 LTE carrier frequency is used in the test
Channel Bandwidth,MHz,1 - 6,As specified in tables A.6.6.18.3.1-3 and A.6.6.18.3.1-4.,
Active cell,,1 - 6,NR Cell 1 (PCell in FR1),Cell 1 is on NR RF channel number 1
Neighbour Cell 1,,1 - 6,Cell 2 (NR FR1),Cell 2 is on NR RF channel number 2
Neighbour Cell 2,,1 - 6,Cell 3 (LTE),Cell 3 is on LTE RF channel number 3
Gap Pattern Id,,1 - 6,1 for MeasGapId #11 for MeasGapId #2,As specified in clause Table 9.1.2-1. Per-UE gap pattern.
Measurement gap offset,ms,1 – 6,19 for MeasGapId #139 for MeasGapId #2,
NR measurement quantity,,,SS-RSRP,Measurement quantity for Cell 1 and Cell 2
Inter-RAT E-UTRAN measurement quantity,,,RSRP,Measurement quantity for Cell 3
b2-Threshold1,dBm,,As specified in table A.6. 6.18.3.1-3,SS-RSRP threshold for SS-RSRP measurement on Cell 1 for event B2
b2-Threshold2EUTRA,dBm,,-101,E-UTRAN RSRP threshold for SS-RSRP measurement on Cell 3 for event B2
Hysteresis,dB,1 – 6,0,
TimeToTrigger,s,1 – 6,0,
Filter coefficient,,1 – 6,0,L3 filtering is not used
offsetMO,dB,1 - 6,6,NR Cell 2
a4-Threshold,dBm,1 – 6,-105,NR Cell 2
DRX,,,OFF,N.A
Time offset between serving and neighbour cells,,"1, 4",3 ms,Asynchronous cells NR cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.
,,"2, 3, 5, 6",3s,Synchronous NR cells.
T1,s,1 – 6,5,for LTE Cell 3 and NR FR1 Cell 2
T2,s,1 - 6,10,for LTE Cell 3
,,,2,for NR FR1 Cell 2
