Parameter,Unit,Test configuration,Value,Comment
Active cell,,"1, 2, 3",Cell 1,
Neighbour cell,,"1, 2, 3","Cell 2, Cell 3",Cell to be identified.
RF Channel Number,,"1, 2, 3","1: Cell 1 and Cell 2, 2: Cell 3",
Measurement gap type,,"1, 2, 3",Per-UE Pre-MG gaps,
Pre-MG Gap Pattern Id,,"1, 2, 3",0 for MeasGapId #11 for MeasGapId #2,
Measurement gap offset,,"1, 2, 3",39 for MeasGapId #119 for MeasGapId #2,
SSB configuration,,1,SSB.1 FR1,
,,2,SSB.1 FR1,
,,3,SSB.2 FR1,
SMTC configuration,,1,SMTC.2,Same configuration for MO1 and MO2
,,2,SMTC.1,Same configuration for MO1 and MO2
,,3,SMTC.1,Same configuration for MO1 and MO2
CSI-RS parameters,,1,CSI-RS.1.2 FDD resource #0,
,,2,CSI-RS.1.2 TDD resource #0,
,,3,CSI-RS.2.2 TDD resource #0,
A3-Offset,dB,"1, 2, 3",-4.5,
CP length,,"1, 2, 3",Normal,
Hysteresis,dB,"1, 2, 3",0,
Time To Trigger,s,"1, 2, 3",0,
Filter coefficient,,"1, 2, 3",0,L3 filtering is not used
DRX,ms,"1, 2, 3",OFF,DRX is not used
Time offset between serving and neighbour cells,,1,3 ms,Asynchronous cells.The timing of Cell 2 and Cell 3 is 3 ms later than the timing of Cell 1.
,,2,3 s,Synchronous cells
,,3,3 s,Synchronous cells
T1,s,"1, 2, 3",5,
T2,s,"1, 2, 3",0.1,
T3,s,"1, 2, 3",5,
