Parameter,,Unit,Value,Comment
Reference cell,,,"Cell 1, Cell 4","Reference cells are the cells in the DL-TDOA assistance data with respect to which the RSTD measurement is defined, as specified in TS 38.215 [4] and TS 37.355 [34]. The reference cell 1 is the PCell in this test case."
Neighbor cells,,,"Cell 2, Cell 3, Cell 4, Cell 5 and Cell 6","Cell 2, Cell 3, Cell 4, Cell 5 and Cell 6 appear at the first, second, third, fourth and fifth places in the neighbour cell list in the DL-TDOA assistance data."
SSB configuration,Config 1,,SSB.1 FR1,
,Config 2,,SSB.1 FR1,
,Config 3,,SSB.2 FR1,
SMTC configuration,Config 1,,SMTC.2,
,Config 2,,SMTC.1,
,Config 3,,SMTC.1,
PDSCH RMC configuration,Config 1,,SR.1.1 FDD,
,Config 2,,SR.1.1 TDD,
,Config 3,,SR.2.1 TDD,
RMSI CORESET RMC configuration,Config 1,,CR.1.1 FDD,As specified in clause A.3.1.2.1
,Config 2,,CR.1.1 TDD,
,Config 3,,CR.2.1 TDD,
Dedicated CORESET RMC configuration,Config 1,,CR.1.1 FDD,
,Config 2,,CR.1.1 TDD,
,Config 3,,CR.2.1 TDD,
Initial BWP configuration,"Config 1,2,3",,DLBWP.0.1 ULBWP.0.1,
Active UL BWP configuration,"Config 1,2,3",,ULBWP.1.1,
PRS Configuration,Config 1,,PRS.1.1 FR1,As specified in clause A.3.31
,Config 2,,PRS.1.2 FR1,
,Config 3,,PRS.2.1 FR1,
Physical cell ID PCI,,,(PCI of Cell 1 – PCI of Cell 2)mod6=0and(PCI of Cell 1 – PCI of Cell 3)mod6=0and(PCI of Cell 1 – PCI of Cell 4)mod6=0and(PCI of Cell 1 – PCI of Cell 5)mod6=0and(PCI of Cell 1 – PCI of Cell 6)mod6=0,The cell PCIs are selected such that the relative shifts of PRS patterns among cells are as given by the test parameters
CP length,,,Normal,
DRX,,s,1.28,
Radio frame receive time offset between the cells at the UE antenna connector,,s,"Cell 2, Cell 4, Cell 5 to Cell 1: 0Cell 3, Cell 6 to Cell 1: 3",PRS are transmitted from synchronous cells
Expected RSTD,,s,Cell 2 to Cell 6: 3Other neighbour cells: randomly between -3 and 3,The expected RSTD is what is expected at the receiver. The corresponding parameter in the DL-TDOA assistance data specified in TS 37.355 [34] is the expectedRSTD indicator
Expected RSTD uncertainty for all neighbour cells,,s,5,The corresponding parameter in the DL-TDOA assistance ta specified in TS 37.355 [34] is the expectedRSTD-Uncertainty index
Number of cells provided in DL-TDOA assistance data,,,6,Including the reference cells
PRS muting info,,,"Cell 1, Cell 4: ‘10’Cell 2, Cell 5: ‘01’Cell 3, Cell 6: ‘10’",Correponds to prs-MutingInfo defined in TS 37.355 [34]
PRS resource RE offset,,,"Cell 1, Cell 4: 0Cell 2, Cell 5: 0Cell 3, Cell 6: 1","Cell 1, Cell 2, Cell 3, Cell 4, Cell 5 and Cell 6"
T1,,s,3,The length of the time interval from the beginning of each test
T2,,s,5,The length of the time interval that follows immediately after time interval T1.
