Parameter,Unit,Value,Comment
NR RF Channel Number,,1,1 NR carrier frequency is used in the test
UTRA RF Channel Number,,2,1 UTRA carrier frequency is used in the test
Channel Bandwidth,MHz,As specified in tables A.6.6.5.1.1-3 and A.6.6.5.1.1-4.,
Active cell,,Cell 1,Cell 1 is on RF channel number 1
Neighbour cell,,Cell 2,Cell 2 is on RF channel number 2
Gap Pattern Id,,0,As specified in clause Table 9.1.2-1. Per-UE gap pattern.
Inter-RAT UTRA measurement quantity,,CPICH Ec/Io,Measurement quantity for Cell 2
b1-ThresholdUTRA-FDD,dB,-16.5,CPICH Ec/Io threshold for SS-RSRP measurement on cell1 for event B1
Hysteresis,dB,0,
TimeToTrigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,OFF
T1,s,5,
T2,s,5,
NOTE 1:Values are defined in table A.6.6.5.1.1-3,,,
