Parameter,Unit,Test configuration,Value,Comment
NR RF Channel Number,,"Config 1,2,3","1, 2",Two FR1 NR carrier frequencies are used.
Active cell,,"Config 1,2,3",NR Cell 1 (PCell),NR Cell 1 is on NR RF channel number 1.
Neighbour cell,,"Config 1,2,3",NR Cell 2,NR Cell 2 is on NR RF channel number 2.
A3-Offset,dB,"Config 1,2,3",-6,
Hysteresis,dB,"Config 1,2,3",0,
CP length,,"Config 1,2,3",Normal,
TimeToTrigger,s,"Config 1,2,3",0,
Filter coefficient,,"Config 1,2,3",0,L3 filtering is not used
DRX,,"Config 1,2,3",OFF,DRX is not used
Time offset between serving and neighbour cells,,Config 1,3 ms,Asynchronous cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.
,,"Config 2,3",3s,Synchronous cells.
T1,s,"Config 1,2,3",5,
T2,s,"Config 1,2,3",2,
