Parameter,Unit,Config,Test 1,,,,,
,,,Cell 2,,,,,
,,,T1,T2,T3,T4,,T5
Frequency Range,,"1,2,3,4",LTE,,,,,
Duplex mode,,"1, 3",FDD,,,,,
,,"2, 4",TDD,,,,,
BWchannel,MHz,"1,2,3,4",10,10,-,-,,10
Measurement bandwidth,,"1,2,3,4",-,-,22-27,22-27,,-
PDSCH Reference Measurement Channel1: R.1 FDD2: R.1 TDD,FDD,"1,3",1,1,-,-,,1
,TDD,"2,4",2,2,-,-,,2
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.1 and A.3.1.2.2 in 36.1331: R.6 FDD2: R.6 TDD,,"1,3",1,1,-,-,,1
,,"2,4",2,2,-,-,,2
OCNG Patterns defined in A.3.2.1.1 (OP.2 FDD) and A.3.2.1.2 (OP.2 TDD) in 36.1331: OP.2 FDD2: OP.2 TDD,,"1,3",1,,,,,
,,"2,4",2,,,,,
Correlation Matrix and Antenna config,,"1,2,3,4",1x2 Low,,,,,
PBCH_RA,dB,"1,2,3,4",N/A,N/A,0,0,,N/A
PBCH_RB,,,N/A,N/A,0,0,,N/A
PSS_RA,,,N/A,N/A,0,0,,N/A
SSS_RA,,,N/A,N/A,0,0,,N/A
PCFICH_RB,,,N/A,N/A,0,0,,N/A
PHICH_RA,,,N/A,N/A,0,0,,N/A
PHICH_RB,,,N/A,N/A,0,0,,N/A
PDCCH_RA,,,N/A,N/A,0,0,,N/A
PDCCH_RB,,,N/A,N/A,0,0,,N/A
PDSCH_RA,,,N/A,N/A,0,0,,N/A
PDSCH_RB,,,N/A,N/A,0,0,,N/A
OCNG_RANote 1,,,N/A,N/A,0,0,,N/A
OCNG_RBNote 1,,,N/A,N/A,0,0,,N/A
Noc Note2,dBm/ 15 kHz,"1,2",-98,-98,-98,-98,,-98
,,"3,4",,,,,,
Ês/Iot,dB,"1,2,3,4",5,5,-3,8,,5
Ês/Noc,dB,"1,2,3,4",5,5,-3,8,,5
"SS-RSRPNote3,4",dBm/SCS,"1,2,3,4",-93,-93,-101,-90,,-93
"IoNote3,4",dBm/9.36 MHz,"1,2, 3, 4",-61.01,-61.01,-65.44,-58.57,,-61.01
Qrxlevmin,dBm/SCS,"1,2, 3, 4",-,-,-140,,,-
Pcompensation,dB,"1,2,3,4",-,-,0,0,,-
Qhysts,dB,"1,2,3,4",-,-,0,0,,-
"Qoffsets, n",dB,"1,2,3,4",-,-,0,0,,-
Cell_selection_and_reselection_quality_measurement,,"1,2,3,4",RSRP and RSRQ,,,,,
Treselection,s,"1,2,3,4",-,,0,,-,
SnonintrasearchP,dB,"1,2,3,4",-,,Not Sent,,-,
SnonintrasearchQ,dB,"1,2,3,4",-,,Not Sent,,-,
"Threshx, high",dB,"1,2,3,4",-,,48,,-,
"Threshserving, low",dB,"1,2,3,4",-,,44,,-,
"Threshx, low",dB,"1,2,3,4",-,,50,,-,
Propagation Condition,dB,"1,2,3,4",-,,AWGN,,-,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SSB_RP minimum requirements are specified assuming independent interference and noise at each  receiver antenna port.,,,,,,,,
