Parameter,Allocated resource blocks (LCRB),DFT-s-OFDM Symbols per slot (Note 1),Modulation,MCS Index (Note 2),Payload size,Transport block CRC,LDPC Base Graph,Number of code blocks per slot (Note 3),Total number of bits per slot,Total modulated symbols per slot
Unit,,,,,Bits,Bits,,,Bits,
,1,11,64QAM,18,408,16,2,1,792,132
,16,11,64QAM,18,6400,24,1,1,12672,2112
,32,11,64QAM,18,12808,24,1,2,25344,4224
,60,11,64QAM,18,24072,24,1,3,47520,7920
,64,11,64QAM,18,25608,24,1,4,50688,8448
,120,11,64QAM,18,48168,24,1,6,95040,15840
,128,11,64QAM,18,51216,24,1,7,101376,16896
,144,11,64QAM,18,57376,24,1,7,114048,19008
,243,11,64QAM,18,96264,24,1,12,192456,32076
,256,11,64QAM,18,102416,24,1,13,202752,33792
"NOTE 1:PUSCH mapping Type-A and single-symbol DM-RS configuration Type-1 with 2 additional DM-RS symbols, such that the DM-RS positions are set to symbols 2, 7, 11. DMRS is [TDM'ed] with PUSCH data. DM-RS symbols are not counted.NOTE 2:MCS Index is based on MCS table 6.1.4.1-1 defined in 38.214.NOTE 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)NOTE 4:Indexes of active UL slots are given by Table A.2.3-1 with TDD UL-DL configuration specified in A2.3 for the requirements requiring at least one sub frame (1ms) for the measurement period. For other requirements, indexes of active UL slots are given by the slots satisfying mod(slot index+1, 5) = 0 with TDD UL-DL configuration specified in A.3.3.1.NOTE 5:The RMCs apply to all channel bandwidth where LCRB ≤ NRB.",,,,,,,,,,
