CA operating band,Spurious emission,,,,,,
,Protected band / frequency range,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
CA_n257,NR Band n260,FDL_low,-,FDL_high,-2,100,
,Frequency range,57000,-,66000,2,100,
,Frequency range,23600,-,24000,1,200,2
CA_n258,Frequency range,57000,-,66000,2,100,
CA_n259,NR Band 257,FDL_low,-,FDL_high,-5,100,
,NR Band 261,FDL_low,-,FDL_high,-5,100,
,Frequency range,36000,-,37000,7,1000,
,Frequency range,57000,-,66000,2,100,
CA_n260,NR Band 257,FDL_low,-,FDL_high,-5,100,
,NR Band 261,FDL_low,-,FDL_high,-5,100,
,NR Band 262,FDL_low,-,FDL_high,-5,100,
,Frequency range,57000,-,66000,2,100,
CA_n261,NR Band 260,FDL_low,-,FDL_high,-2,100,
,NR Band 262,FDL_low,-,FDL_high,-5,100,
,Frequency range,57000,-,66000,2,100,
CA_n262,NR Band 260,FDL_low,-,FDL_high,-2,100,
,NR Band 261,FDL_low,-,FDL_high,-5,100,
,Frequency range,57000,-,66000,2,100,
CA_n257_n259,NR Band n260,FDL_low,-,FDL_high,-2,100,
,Frequency range,57000,-,66000,2,100,
,Frequency range,23600,-,24000,1,200,
,NR Band 257,FDL_low,-,FDL_high,-5,100,
,NR Band 261,FDL_low,-,FDL_high,-5,100,
,Frequency range,36000,-,37000,7,1000,
CA_n260_n261,NR Band 257,FDL_low,-,FDL_high,-5,100,
,NR Band 262,FDL_low,-,FDL_high,-5,100,
,Frequency range,57000,-,66000,2,100,
NOTE 1:FDL_low and FDL_high refer to each NR frequency band specified in Table 5.2-1NOTE 2:The protection of frequency range 23600-24000 MHz is meant for protection of satellite passive services.NOTE 3:Void,,,,,,,
