NR Band,Index of field(bit number),Definition(description of the supported functionality if indicator set to one),Notes
n257,0 (leftmost bit),- FR2 power class 3 MPR as defined in clause 6.2.2.3 of 38.101-2,- This bit shall be set to 1 by a UE supporting n257
,1,- NS_202 as defined in clause 6.2.3.3 or both NS_202 and CA_NS_202 as defined in clause 6.2A.3.3,- This bit shall be set to 1 by a UE supporting n257 or both n257 and CA_n257
,2,- NS_205 as defined in clause 6.2.3.6 or both NS_205 and CA_NS_205 as defined in clause 6.2A.3.6,- This bit shall be set to 1 by a UE supporting n257 or both n257 and CA_n257
n258,0 (leftmost bit),- FR2 power class 3 MPR as defined in clause 6.2.2.3 of 38.101-2,- This bit shall be set to 1 by a UE supporting n258
,1,Void,
,2,- NS_203 as defined in clause 6.5.3.2.4 or both NS_203 and CA_NS_203 as defined in clause 6.5A.3.2.4 of 38.101-2 v15.12.0,- This bit shall be set to 1 by a UE supporting n258 or both n258 and CA_n258
,3,- NS_202 as defined in clause 6.2.3.3 or both NS_202 and CA_NS_202 as defined in clause 6.2A.3.3,- This bit shall be set to 1 by a UE supporting n258 or both n258 and CA_n258
,4,- NS_205 as defined in clause 6.2.3.6 or both NS_205 and CA_NS_205 as defined in clause 6.2A.3.6,- This bit shall be set to 1 by a UE supporting n258 or both n258 and CA_n258
n260,0 (leftmost bit),- FR2 power class 3 MPR as defined in clause 6.2.2.3 of 38.101-2,- This bit shall be set to 1 by a UE supporting n260
n261,0 (leftmost bit),- FR2 power class 3 MPR as defined in clause 6.2.2.3 of 38.101-2,- This bit shall be set to 1 by a UE supporting n261
