NR CA configuration / Bandwidth combination set,,,,
CA configuration,Uplink CA configurations,"(BWChannel,block) (MHz)",BCS,
CA_n257(A-G),CA_n257GCA_n257(A-G)CA_n257(2A),600,0,
CA_n257(A-D),-,800,0,
CA_n257(A-H),-,700,0,
CA_n257(A-I),-,800,0,
CA_n257(G-H),-,500,0,
CA_n257(G-I),-,600,0,
CA_n258(A-D),CA_n258D,800,0,
CA_n258(A-G),CA_n258GCA_n258(A-G)CA_n258(2A),600,0,
CA_n258(A-H),CA_n258G/H,700,0,
CA_n258(A-I),CA_n258G/H/I,800,0,
CA_n258(A-J),CA_n258G/H/I/J,900,0,
CA_n258(D-G),CA_n258D/G,600,0,
CA_n258(G-H),CA_n258G/H,500,0,
CA_n258(G-I),CA_n258G/H/I,600,0,
CA_n258(G-J),CA_n258G/H/I/J,700,0,
CA_n260(A-D),-,800,0,
CA_n260(A-E),-,1000,0,
CA_n260(2A-D),-,1200,0,
CA_n260(3A-D),-,1600,0,
CA_n260(4A-D),-,2000,0,
CA_n260(A-2D),-,1200,0,
CA_n260(2A-2D),-,1600,0,
CA_n260(A-D-O),-,1000,0,
CA_n260(A-D-G),-,1000,0,
CA_n260(2A-D-O),-,1400,0,
CA_n260(3A-D-O),-,1800,0,
CA_n260(A-D-2O),-,1200,0,
CA_n260(2A-D-2O),-,1600,0,
CA_n260(A-G),CA_n260G,600,0,
CA_n260(A-G-H),CA_n260G/H,900,0,
CA_n260(2A-G),CA_n260G,1000,0,
CA_n260(A-2G),CA_n260G,800,0,
CA_n260(A-3G),CA_n260G,1000,0,
CA_n260(A-4G),-,1200,0,
CA_n260(2A-2G),CA_n260G,1200,0,
CA_n260(2A-3G),CA_n260G,1400,0,
CA_n260(2A-2G-O),CA_n260G/O,1400,0,
CA_n260(2A-2G-2O),-,1600,0,
CA_n260(3A-2G),CA_n260G,1600,0,
CA_n260(3A-2G-O),-,1800,0,
CA_n260(4A-G),CA_n260G,1800,0,
CA_n260(4A-G-O),CA_n260G/O,2000,0,
CA_n260(4A-2G),CA_n260G,2000,0,
CA_n260(5A-G),CA_n260G,2200,0,
CA_n260(A-2G-2O),-,1200,0,
CA_n260(A-2G-3O),-,1400,0,
CA_n260(2A-G-H),CA_n260G/H,1300,0,
CA_n260(2A-G-2O),CA_n260G/O,1400,0,
CA_n260(2A-G-3O),-,1600,0,
CA_n260(3A-G),CA_n260G,1400,0,
CA_n260(3A-G-O),CA_n260G/O,1600,0,
CA_n260(3A-G-2O),-,1800,0,
CA_n260(A-2H),CA_n260G/H,1000,0,
CA_n260(2A-H),CA_n260G/H,1100,0,
CA_n260(3A-H),CA_n260G/H,1500,0,
CA_n260(2A-2H),CA_n260G/H,1400,0,
CA_n260(A-H),CA_n260G/H,700,0,
CA_n260(A-H-O),CA_n260G/H/O,900,0,
CA_n260(A-O),CA_n260O,600,0,
CA_n260(A-O-P),CA_n260O/P,900,0,
CA_n260(A-O-P-Q),-,1300,0,
CA_n260(A-O-2P),-,1200,0,
CA_n260(A-O-3P),-,1500,0,
CA_n260(2A-O-P),CA_n260O/P,1300,0,
CA_n260(2A-O-P-Q),-,1700,0,
CA_n260(2A-O-2P),-,1600,0,
CA_n260(2A-O-3P),-,1900,0,
CA_n260(2A-2O-P),-,1500,0,
CA_n260(2A-2O-P-Q),-,1900,0,
CA_n260(A-O-Q),CA_n260O/P/Q,1000,0,
CA_n260(A-O-2Q),-,1400,0,
CA_n260(2A-O-Q),CA_n260O/P/Q,1400,0,
CA_n260(2A-O-2Q),-,1800,0,
CA_n260(2A-2O-Q),-,1600,0,
CA_n260(2A-O),CA_n260O,1000,0,
CA_n260(A-2O),CA_n260O,800,0,
CA_n260(A-2O-P),CA_n260O/P,1100,0,
CA_n260(A-2O-P-Q),-,1500,0,
CA_n260(A-2O-2P),-,1400,0,
CA_n260(A-2O-Q),-,1200,0,
CA_n260(A-2O-2Q),-,1600,0,
CA_n260(A-3O-P),-,1300,0,
CA_n260(A-3O-Q),,1400,0,
CA_n260(2A-2O),CA_n260O,1200,0,
CA_n260(2A-2O-2P),-,1800,0,
CA_n260(2A-2O-2Q),-,2000,0,
CA_n260(2A-3O),CA_n260O,1400,0,
CA_n260(2A-3O-P),-,1700,0,
CA_n260(2A-3O-Q),-,1800,0,
CA_n260(3A-2O),CA_n260O,1600,0,
CA_n260(3A-2O-P),-,1900,0,
CA_n260(3A-2O-Q),-,2000,0,
CA_n260(4A-O),CA_n260O,1800,0,
CA_n260(4A-O-P),-,2100,0,
CA_n260(4A-O-Q),-,2200,0,
CA_n260(5A-O-P),-,2500,0,
