Parameter,Allocated resource blocks (LCRB),DFT-s-OFDM Symbols per slot (Note 1),Modulation,MCS Index (Note 2),Payload size,Transport block CRC,LDPC Base Graph,Number of code blocks per slot (Note 3),Total number of bits per slot,Total modulated symbols per slot
Unit,,,,,Bits,Bits,,,Bits,
,1,11,16QAM,10,176,16,2,1,528,132
,16,11,16QAM,10,2792,16,2,1,8448,2112
,32,11,16QAM,10,5632,24,1,1,16896,4224
,60,11,16QAM,10,10504,24,1,2,31680,7920
,64,11,16QAM,10,11272,24,1,2,33792,8448
,120,11,16QAM,10,21000,24,1,3,63360,15840
,128,11,16QAM,10,22536,24,1,3,67584,16896
,144,11,16QAM,10,25104,24,1,3,76032,19008
,243,11,16QAM,10,43032,24,1,6,128304,32076
,256,11,16QAM,10,45096,24,1,6,135168,33792
"NOTE 1:PUSCH mapping Type-A and single-symbol DM-RS configuration Type-1 with 2 additional DM-RS symbols, such that the DM-RS positions are set to symbols 2, 7, 11. DMRS is [TDM'ed] with PUSCH data. DM-RS symbols are not counted.NOTE 2:MCS Index is based on MCS table 6.1.4.1-1 defined in 38.214.NOTE 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)NOTE 4:Indexes of active UL slots are given by Table A.2.3-1 with TDD UL-DL configuration specified in A2.3 for the requirements requiring at least one sub frame (1ms) for the measurement period. For other requirements, indexes of active UL slots are given by the slots satisfying mod(slot index+1, 5) = 0 with TDD UL-DL configuration specified in A.3.3.1.NOTE 5:The RMCs apply to all channel bandwidth where LCRB ≤ NRB.",,,,,,,,,,
