Parameter,Allocated resource blocks (LCRB),DFT-s-OFDM Symbols per slot (Note 1),Modulation,MCS Index (Note 2),Payload size,Transport block CRC,LDPC Base Graph,Number of code blocks per slot (Note 3),Total number of bits per slot,Total modulated symbols per slot
Unit,,,,,Bits,Bits,,,Bits,
,1,11,256QAM,22,808,16,1,1,1056,132
,16,11,256QAM,22,12552,24,1,2,16896,2112
,32,11,256QAM,22,25104,24,1,3,33792,4224
,60,11,256QAM,22,47112,24,1,6,63360,7920
,64,11,256QAM,22,50184,24,1,6,67584,8448
,120,11,256QAM,22,94248,24,1,12,126720,15840
,128,11,256QAM,22,100392,24,1,12,135168,16896
,144,11,256QAM,22,112648,24,1,14,152064,19008
,243,11,256QAM,22,188576,24,1,23,256608,32076
,256,11,256QAM,22,200808,24,1,24,270336,33792
"NOTE 1:PUSCH mapping Type-A and single-symbol DM-RS configuration Type-1 with 2 additional DM-RS symbols, such that the DM-RS positions are set to symbols 2, 7, 11. DMRS is [TDM'ed] with PUSCH data. DM-RS symbols are not counted.NOTE 2:MCS Index is based on MCS table 5.1.3.1-2 defined in 38.214.NOTE 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)NOTE 4:Indexes of active UL slots are given by Table A.2.3-1 with TDD UL-DL configuration specified in A2.3 for the requirements requiring at least one sub frame (1ms) for the measurement period. For other requirements, indexes of active UL slots are given by the slots satisfying mod(slot index+1, 5) = 0 with TDD UL-DL configuration specified in A.3.3.1.NOTE 5:The RMCs apply to all channel bandwidth where LCRB ≤ NRB.",,,,,,,,,,
