NR CA bandwidth class,Aggregated channel bandwidth,Number of contiguous CC,Fallback group
A,BWChannel ≤ 400 MHz,1,"1,2,3,4,5"
B,400 MHz < BWChannel_CA ≤ 800 MHz,2,1
C,800 MHz < BWChannel_CA ≤ 1200 MHz,3,
V (Note 4),1200 MHz < BWChannel_CA ≤ 1600 MHz,4,
W (Note 4),1600 MHz < BWChannel_CA ≤ 2000 MHz,5,
D,200 MHz < BWChannel_CA ≤ 400 MHz,2,2
E,400 MHz < BWChannel_CA ≤ 600 MHz,3,
F,600 MHz < BWChannel_CA ≤ 800 MHz,4,
R,800 MHz < BWChannel_CA ≤ 1000 MHz,5,
S,1000 MHz < BWChannel_CA ≤ 1200 MHz,6,
T,1200 MHz < BWChannel_CA ≤ 1400 MHz,7,
U,1400 MHz < BWChannel_CA ≤ 1600 MHz,8,
G,100 MHz < BWChannel_CA ≤ 200 MHz,2,3
H,200 MHz < BWChannel_CA ≤ 300 MHz,3,
I,300 MHz < BWChannel_CA ≤ 400 MHz,4,
J,400 MHz < BWChannel_CA ≤ 500 MHz,5,
K,500 MHz < BWChannel_CA ≤ 600 MHz,6,
L,600 MHz < BWChannel_CA ≤ 700 MHz,7,
M,700 MHz < BWChannel_CA ≤ 800 MHz,8,
O,100 MHz ≤ BWChannel_CA ≤ 200 MHz,2,4
P,150 MHz ≤ BWChannel_CA ≤ 300 MHz,3,
Q,200 MHz ≤ BWChannel_CA ≤ 400 MHz,4,
R2,200 MHz ≤ BWChannel_CA ≤ 400 MHz,2,5
R3,300 MHz ≤ BWChannel_CA ≤ 600 MHz,3,
R4,400 MHz ≤ BWChannel_CA ≤ 800 MHz,4,
R5,500 MHz ≤ BWChannel_CA ≤ 1000 MHz,5,
R6,600 MHz ≤ BWChannel_CA ≤ 1200 MHz,6,
R7,700 MHz ≤ BWChannel_CA ≤ 1400 MHz,7,
R8,800 MHz ≤ BWChannel_CA ≤ 1600 MHz,8,
R9,900 MHz ≤ BWChannel_CA ≤ 1800 MHz,9,
R10,1000 MHz ≤ BWChannel_CA ≤ 2000 MHz,10,
R11,1100 MHz ≤ BWChannel_CA ≤ 2200 MHz,11,
R12,1200 MHz ≤ BWChannel_CA ≤ 2400 MHz,12,
"NOTE 1:Maximum supported component carrier bandwidths for fallback groups 1, 2, 3, 4 and 5 are 400 MHz, 200 MHz, 100 MHz, 100 MHz and 200 MHz respectively except for CA bandwidth class A. For CA bandwidth classes of fallback groups 1, 2, 3, 4 and 5, the minimum requirements apply for the cases in which each CA bandwidth class consists of up to two contiguous blocks of spectrum each with one or more contiguous component carriers of a single channel bandwidth.NOTE 2:It is mandatory for a UE to be able to fallback to lower order CA bandwidth class configuration within a fallback group. It is not mandatory for a UE to be able to fallback to lower order CA bandwidth class configuration that belong to a different fallback group.NOTE 3:In this release of the specification, the minimum requirements for intra-band contiguous CA configurations apply for aggregated channel bandwidths up to 1600 MHz for FR2-1 (this note is not relevant for UE capability parsing by the network).NOTE 4:This bandwidth class is applicable only for operating bands within FR2-2.",,,
