NR CA configuration / Bandwidth combination set / Fallback group,,,,,,,,,,,,,,,,
NR CA configuration,Uplink CA configurations,BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),Maximum aggregatedBW (MHz),BCS,Fallback group
CA_n257B,CA_n257B,"50, 100, 200, 400",400,,,,,,,,,,,800,0,1
CA_n257C,CA_n257B,"50, 100, 200, 400",400,400,,,,,,,,,,1200,0,
CA_n257D,CA_n257D,"50, 100, 200",200,,,,,,,,,,,400,0,2
CA_n257E,CA_n257D/E,"50, 100, 200",200,200,,,,,,,,,,600,0,
CA_n257F,CA_n257D/E/F,"50, 100, 200",200,200,200,,,,,,,,,800,0,
CA_n257G,CA_n257G,"50, 100",100,,,,,,,,,,,200,0,3
CA_n257H,CA_n257G/H,"50, 100",100,100,,,,,,,,,,300,0,
CA_n257I,CA_n257G/H/I,"50, 100",100,100,100,,,,,,,,,400,0,
CA_n257J,CA_n257G/H/I/J,"50, 100",100,100,100,100,,,,,,,,500,0,
CA_n257K,CA_n257G/H/I/J/K,"50, 100",100,100,100,100,100,,,,,,,600,0,
CA_n257L,CA_n257G/H/I/J/K/L,"50, 100",100,100,100,100,100,100,,,,,,700,0,
CA_n257M,CA_n257G/H/I/J/K/L/M,"50, 100",100,100,100,100,100,100,100,,,,,800,0,
CA_n257O,CA_n257O,"50, 100","50, 100",,,,,,,,,,,200,0,4
CA_n257P,CA_n257O/P,"50, 100","50, 100","50, 100",,,,,,,,,,300,0,
CA_n257Q,CA_n257O/P/Q,"50, 100","50, 100","50, 100","50, 100",,,,,,,,,400,0,
CA_n258B,CA_n258B,"50, 100, 200, 400",400,,,,,,,,,,,800,0,1
CA_n258C,CA_n258B,"50, 100, 200, 400",400,400,,,,,,,,,,1200,0,
CA_n258D,CA_n258D,"50, 100, 200",200,,,,,,,,,,,400,0,2
CA_n258E,CA_n258D/E,"50, 100, 200",200,200,,,,,,,,,,600,0,
CA_n258R,CA_n258D/E/F/R,"50, 100, 200",200,200,200,200,,,,,,,,1000,0,
CA_n258S,CA_n258D/E/F/R/S,"50, 100, 200",200,200,200,200,200,,,,,,,1200,0,
CA_n258F,CA_n258D/E/F,"50, 100, 200",200,200,200,,,,,,,,,800,0,
CA_n258G,CA_n258G,"50, 100",100,,,,,,,,,,,200,0,3
CA_n258H,CA_n258G/H,"50, 100",100,100,,,,,,,,,,300,0,
CA_n258I,CA_n258G/H/I,"50, 100",100,100,100,,,,,,,,,400,0,
CA_n258J,CA_n258G/H/I/J,"50, 100",100,100,100,100,,,,,,,,500,0,
CA_n258K,CA_n258G/H/I/J/K,"50, 100",100,100,100,100,100,,,,,,,600,0,
CA_n258L,CA_n258G/H/I/J/K/L,"50, 100",100,100,100,100,100,100,,,,,,700,0,
CA_n258M,CA_n258G/H/I/J/K/L/M,"50, 100",100,100,100,100,100,100,100,,,,,800,0,
CA_n258O,CA_n258O,"50, 100","50, 100",,,,,,,,,,,200,0,4
