,Spectrum emission limit (dBm) / Channel bandwidth,,,,,,,
ΔfOOB(MHz),50MHz,100MHz,200MHz,400MHz,800 MHz,1600 MHz,2000 MHz,Measurement bandwidth
0-5,-5,-5,-5,-5,-5,-5,-5,1 MHz
5-10,-13,-5,-5,-5,-5,-5,-5,1 MHz
10-20,-13,-13,-5,-5,-5,-5,-5,1 MHz
20-40,-13,-13,-13,-5,-5,-5,-5,1 MHz
40-80,-13,-13,-13,-13,-5,-5,-5,1 MHz
80-100,-13,-13,-13,-13,-13,-5,-5,1 MHz
100-160,,-13,-13,-13,-13,-5,-5,1 MHz
160-200,,-13,-13,-13,-13,-13,-5,1 MHz
200-400,,,-13,-13,-13,-13,-13,1 MHz
400-800,,,,-13,-13,-13,-13,1 MHz
± 800-1600,,,,,-13,-13,-13,1 MHz
± 1600-3200,,,,,,-13,-13,1 MHz
± 3200-4000,,,,,,,-13,1 MHz
NOTE 1:Void,,,,,,,,
