NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (NOTE 1),Bandwidth combination set
CA_n257A-n259A,CA_n257A-n259A,n257,"50, 100, 200, 400",0
,,n259,"50, 100, 200, 400",
CA_n257A-n259G,CA_n257A-n259A,n257,"50, 100, 200, 400",0
,,n259,CA_n259G,
CA_n257A-n259H,CA_n257A-n259A,n257,"50, 100, 200, 400",0
,,n259,CA_n259H,
CA_n257A-n259I,CA_n257A-n259A,n257,"50, 100, 200, 400",0
,,n259,CA_n259I,
CA_n257A-n259J,CA_n257A-n259A,n257,"50, 100, 200, 400",0
,,n259,CA_n259J,
CA_n257A-n259K,CA_n257A-n259A,n257,"50, 100, 200, 400",0
,,n259,CA_n259K,
CA_n257A-n259L,CA_n257A-n259A,n257,"50, 100, 200, 400",0
,,n259,CA_n259L,
CA_n257A-n259M,CA_n257A-n259A,n257,"50, 100, 200, 400",0
,,n259,CA_n259M,
CA_n257G-n259A,CA_n257A-n259A,n257,CA_n257G,0
,,n259,"50, 100, 200, 400",
CA_n257G-n259G,CA_n257A-n259A,n257,CA_n257G,0
,,n259,CA_n259G,
CA_n257G-n259H,CA_n257A-n259A,n257,CA_n257G,0
,,n259,CA_n259H,
CA_n257G-n259I,CA_n257A-n259A,n257,CA_n257G,0
,,n259,CA_n259I,
CA_n257G-n259J,CA_n257A-n259A,n257,CA_n257G,0
,,n259,CA_n259J,
CA_n257G-n259K,CA_n257A-n259A,n257,CA_n257G,0
,,n259,CA_n259K,
CA_n257G-n259L,CA_n257A-n259A,n257,CA_n257G,0
,,n259,CA_n259L,
CA_n257G-n259M,CA_n257A-n259A,n257,CA_n257G,0
,,n259,CA_n259M,
CA_n257H-n259A,CA_n257A-n259A,n257,CA_n257H,0
,,n259,"50, 100, 200, 400",
CA_n257H-n259G,CA_n257A-n259A,n257,CA_n257H,0
,,n259,CA_n259G,
CA_n257H-n259H,CA_n257A-n259A,n257,CA_n257H,0
,,n259,CA_n259H,
CA_n257H-n259I,CA_n257A-n259A,n257,CA_n257H,0
,,n259,CA_n259I,
CA_n257H-n259J,CA_n257A-n259A,n257,CA_n257H,0
,,n259,CA_n259J,
CA_n257H-n259K,CA_n257A-n259A,n257,CA_n257H,0
,,n259,CA_n259K,
CA_n257H-n259L,CA_n257A-n259A,n257,CA_n257H,0
,,n259,CA_n259L,
CA_n257H-n259M,CA_n257A-n259A,n257,CA_n257H,0
,,n259,CA_n259M,
