NR CA configuration / Bandwidth combination set,,,,
NR configuration,Uplink CA configurations,"(BWChannel,block) (MHz)",BCS,
CA_n257(2A),-,800,0,
CA_n257(2G),CA_n257(2G),400,0,
CA_n258(2A),-,800,0,
CA_n258(3A),-,1200,0,
CA_n258(4A),-,1600,0,
CA_n258(5A),-,2000,0,
CA_n258(2G),CA_n258G,400,0,
CA_n260(2A),CA_n260(2A),800,0,
CA_n260(3A),CA_n260(3A),1200,0,
CA_n260(4A),-,1600,0,
CA_n260(5A),-,2000,0,
CA_n260(6A),-,2400,0,
CA_n260(7A),-,2800,0,
CA_n260(8A),-,2900,0,
CA_n260(9A),-,2950,0,
CA_n260(10A),-,2950,0,
CA_n260(2D),-,800,0,
CA_n260(2G),CA_n260G,400,0,
CA_n260(3G),-,600,0,
CA_n260(4G),-,800,0,
CA_n260(2H),CA_n260G/H,600,0,
CA_n260(2O),-,400,0,
CA_n260(3O),-,600,0,
CA_n260(4O),-,800,0,
CA_n260(2P),-,600,0,
CA_n260(3P),-,900,0,
CA_n260(4P),-,1200,0,
CA_n260(2Q),-,800,0,
CA_n261(2A),-,800,0,
CA_n261(3A),-,800,0,
CA_n261(4A),-,800,0,
CA_n261(5A),-,800,0,
CA_n261(6A),-,800,0,
CA_n261(7A),-,800,0,
CA_n261(8A),-,800,0,
CA_n261(2D),-,800,0,
CA_n261(2G),CA_n261G,400,0,
CA_n261(3G),CA_n261G,600,0,
CA_n261(4G),CA_n261G,800,0,
CA_n261(2H),CA_n261G/H,600,0,
CA_n261(2I),CA_n261G/H/I,800,0,
CA_n261(2O),-,400,0,
CA_n261(3O),-,600,0,
CA_n261(4O),-,800,0,
CA_n261(5O),-,800,0,
CA_n261(6O),-,800,0,
CA_n261(7O),-,800,0,
CA_n261(2P),-,600,0,
CA_n261(2Q),-,800,0,
"NOTE 1:VoidNOTE 2:VoidNOTE 3:VoidNOTE 4:VoidNOTE 5:Channel bandwidth per operating band defined in Table 5.3.5-1NOTE 6:Unless otherwise stated, BCS0 is referred in each constituent CA configurationNOTE 7:(BWChannel,block) denotes the maximum total bandwidth from the summation of the sub-block bandwidths and shall be less than the bandwidth of the operating band.NOTE 8:The delimiter “/” will only be used in the uplink configurations for the sake of simplicity. For example, CA_nyA/B/C denotes CA_nyA, CA_nyB and CA_nyC, where ny is a FR2 NR band and A, B and C are the corresponding bandwidth classes respectively.",,,,
