Operating band,SCS (kHz),UE channel bandwidth (MHz),,,,,,
,,50,100,200,400,800,1600,2000
n257,60,50,100,200,,,,
,120,50,100,200,4001,,,
n258,60,50,100,200,,,,
,120,50,100,200,4001,,,
n259,60,50,100,200,,,,
,120,50,100,200,4001,,,
n260,60,50,100,200,,,,
,120,50,100,200,4001,,,
n261,60,50,100,200,,,,
,120,50,100,200,4001,,,
n262,60,50,100,200,,,,
,120,50,100,200,4001,,,
n263,120,,100,,400,,,
,4802,,,,400,8001,16001,
,9602,,,,400,8001,16001,20001
NOTE 1:This UE channel bandwidth is optional in this release of the specification.NOTE 2: This SCS is optional in this release of the specification.,,,,,,,,
