Parameter,Unit,Value,,
Channel bandwidth,MHz,50,100,200
Subcarrier spacing configuration,,2,2,2
Allocated resource blocks,,66,132,264
Subcarriers per resource block,,12,12,12
Allocated slots per Frame,,23,23,23
MCS index,,4,4,4
Modulation,,QPSK,QPSK,QPSK
Target Coding Rate,,1/3,1/3,1/3
Maximum number of HARQ transmissions,,1,1,1
Information Bit Payload per Slot,,,,
"For Slots 0 and Slot i, if mod(i, 5) = {3,4} for i from {0,…,79} (NOTE 5)",Bits,N/A,N/A,N/A
"For Slot i, if mod(i, 5) = {0,1,2} for i from {1,…,79} (NOTE 6)",Bits,8456,16896,33816
Transport block CRC,Bits,24,24,24
LDPC base graph,,1,1,1
Number of Code Blocks per Slot,,,,
"For Slots 0 and Slot i, if mod(i, 5) = {3,4} for i from {0,…,79} (NOTE 5)",CBs,N/A,N/A,N/A
"For Slot i, if mod(i, 5) = {0,1,2} for i from {1,…,79} (NOTE 6)",CBs,1,2,2
Binary Channel Bits Per Slot,,,,
"For Slots 0 and Slot i, if mod(i, 5) = {3,4} for i from {0,…,79} (NOTE 5)",Bits,N/A,N/A,N/A
"For Slot i, if mod(i, 5) = {0,1,2} for i from {1,…,79} (NOTE 6)",Bits,28512,57024,114048
Max. Throughput averaged over 1 frame,Mbps,19.449,38.861,77.777
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.3.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot 0 with periodicity 20 msNOTE 4:Slot i is slot index per 2 framesNOTE 5:When this DL RMC used together with the UL RMC for the transmitter requirements requiring at least one sub frame (1ms) for the measurement period, Slot i, if mod(i, 8) = {3,4,5,6,7} for i from {0,…,79} together with the TDD UL-DL configuration specified in A2.3.NOTE 6:When this DL RMC used together with the UL RMC for the transmitter requirements requiring at least one sub frame (1ms) for the measurement period, Slot i, if mod(i, 8) = {0,1,2} for i from {0,…,79} together with the TDD UL-DL configuration specified in A2.3.",,,,
