Parameter,Allocated resource blocks (LCRB),DFT-s-OFDM Symbols per slot (Note 1),Modulation,MCS Index (Note 2),Payload size,Transport block CRC,LDPC Base Graph,Number of code blocks per slot (Note 3),Total number of bits per slot,Total modulated symbols per slot
Unit,,,,,Bits,Bits,,,Bits9,
,1,11,pi/2 BPSK,0,24,16,2,1,132,132
,16,11,pi/2 BPSK,0,504,16,2,1,2112,2112
,32,11,pi/2 BPSK,0,1032,16,2,1,4224,4224
,60,11,pi/2 BPSK,0,1864,16,2,1,7920,7920
,64,11,pi/2 BPSK,0,2024,16,2,1,8448,8448
,120,11,pi/2 BPSK,0,3752,16,2,1,15840,15840
,128,11,pi/2 BPSK,0,3976,24,2,2,16896,16896
,144,11,pi/2 BPSK,0,4488,24,2,2,19008,19008
,243,11,pi/2 BPSK,0,7560,24,2,2,32076,32076
,256,11,pi/2 BPSK,0,7944,24,2,3,33792,33792
"NOTE 1:PUSCH mapping Type-A and single-symbol DM-RS configuration Type-1 with 2 additional DM-RS symbols, such that the DM-RS positions are set to symbols 2, 7, 11. DMRS is [TDM'ed] with PUSCH data. DM-RS symbols are not counted.NOTE 2:MCS Index is based on MCS table 6.1.4.1-1 defined in 38.214.NOTE 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)NOTE 4:Indexes of active UL slots are given by Table A.2.3-1 with TDD UL-DL configuration specified in A2.3 for the requirements requiring at least one sub frame (1ms) for the measurement period. For other requirements, indexes of active UL slots are given by the slots satisfying mod(slot index+1, 5) = 0 with TDD UL-DL configuration specified in A.3.3.1.NOTE 5:The RMCs apply to all channel bandwidth where LCRB ≤ NRB.",,,,,,,,,,
