Format,SCS,Measurement period,Note
A1,60 kHz,0.035677 ms,
,120 kHz,0.017839 ms,
,480 kHz,0.004460 ms,
,960 kHz,0.002230 ms,
A2,60 kHz,0.071354 ms,
,120 kHz,0.035677 ms,
,480 kHz,0.008919 ms,
,960 kHz,0.004460 ms,
A3,60 kHz,0.107031 ms,
,120 kHz,0.053516 ms,
,480 kHz,0.013379 ms,
,960 kHz,0.006690 ms,
B1,60 kHz,0.035091 ms,
,120 kHz,0.0175455 ms,
,480 kHz,0.004386 ms,
,960 kHz,0.002193 ms,
B4,60 kHz,0.207617 ms,
,120 kHz,0.103809 ms,
,480 kHz,0.025952 ms,
,960 kHz,0.012976 ms,
A1/B1,60 kHz,0.035677 ms for front X1 occasion0.035091 ms for last occasion,"X1 = [2,5]"
,120 kHz,0.017839 ms for front X1occasion0.017546 ms for last occasion,
,480 kHz,0.004460 ms for front X1 occasion 0.004386 ms for last occasion,
,960 kHz,0.002230 ms for front X1occasion0.002193 ms for last occasion,
A2/B2,60 kHz,0.071354 ms for front X2 occasion0.069596 ms for last occasion,"X2 = [1,2]"
,120 kHz,0.035677 ms for front X2 occasion0.034798 ms for last occasion,
,480 kHz,0.008919 ms for front X2 occasion0.008700 ms for last occasion,
,960 kHz,0.004460 ms for front X2 occasion0.004350 ms for last occasion,
A3/B3,60 kHz,0.107031 ms for first occasion0.104101 ms for second occasion,
,120 kHz,0.053515 ms for first occasion0.052050 ms for second occasion,
,480 kHz,0.013379 ms for first occasion0.013013 ms for second occasion,
,960 kHz,0.006690 ms for first occasion0.006506 ms for second occasion,
C0,60 kHz,0.026758 ms,
,120 kHz,0.013379 ms,
,480 kHz,0.003345 ms,
,960 kHz,0.001672 ms,
C2,60 kHz,0.083333 ms,
,120 kHz,0.0416667 ms,
,480 kHz,0.010417 ms,
,960 kHz,0.005208 ms,
"NOTE:For PRACH on PRACH occasion start from begin of 0ms or 0.5 ms boundary, the measurement period will plus 0.032552 μs",,,
