Parameter,Unit,Test configuration,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
PDSCH Reference measurement channel,,"Config 1,2",SR.1.2FDD,,,
RMSI CORESET Reference Channel,,"Config 1,2",CR.1.3 FDD,,,
Dedicated CORESET Reference Channel,,"Config 1,2",CCR.1.7 FDD,,,
SSB parameters,,"Config 1,2",SSB.13 FR1,,SSB.13 FR1,
SMTC configuration defined in A.3.11,,"Config 1,2",SMTC.2,,SMTC.2,
Note2,dBm/15 kHz,"Config 1,2",-98,,-98,
Note2,dBm/SCS,"Config 1,2",-98,,-98,
SS-RSRP Note 3,dBm/SCS,"Config 1,2",-94,-94,-Infinity,-91
,dB,"Config 1,2",4,4,-Infinity,7
,dB,"Config 1,2",4,4,-Infinity,7
IoNote3,dBm/2.7 MHz,"Config 1,2",-69.99,-69.99,-75.44,-67.60
