Parameter,Config,Unit,Value
Satellite configuration,"1, 3",,SSC.1
,"2, 4",,SSC.2
SSB ARFCN,1~4,,freq1
Duplex mode,1~4,,FDD
BWchannel,1~2,MHz,"100: NPRB,c = 66"
,3~4,,"20: NPRB,c = 51"
Data PRBs allocated,1~4,,66
PDSCH Reference measurement channel,1~2,,SR.3.1 TDD
,3~4,,SR.2.1 TDD
RMSI CORESET Reference Channel,1~2,,CR.3.1 TDD
,3~4,,CR.2.1 TDD
Dedicated CORESET Reference Channel,1~2,,CCR.3.1 TDD
,3~4,,CCR.2.1 TDD
SSB configuration,1~2,,SSB.1 FR2
,3~4,,SSB.1 FR1
OCNG Patterns,1~4,,OP.1
Initial BWP Configuration,1~4,,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,1~4,,DLBWP.1.1ULBWP.1.1
SMTC configuration,1~4,,SMTC.1
TRS Configuration,1~2,,TRS.2.1 FDD
,3~4,,TRS.1.2 FDD
PDCCH/PDSCH TCI Configuration,1~4,,TCI.State.0
DRX configuration,1~4,,Off
reportConfigType,1~4,,periodic
reportQuantity,1~4,,ssb-Index-RSRP
Number of reported RS,1~4,,2
L1-RSRP reporting period,1~2,slot,320
,3~4,,80
T1,1~4,s,5
T2,1~4,s,2
EPRE ratio of PSS to SSS,1~4,dB,0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,
Propagation condition,1~4,,AWGN
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,
