Parameter,Unit,Cell 1,,,Cell 2,,
,,T1,T2,T3,T1,T2,T3
Satellite information,,SSC.2 for Config 1,,,NSC.2 for Config 1,,
PDSCH RMC configuration,,SR.1.1 FDD,,,SR.1.1 FDD,,
RMSI CORESET configuration,,CR.1.1 FDD,,,CR.1.1 FDD,,
Dedicated CORESET configuration,,CCR.1.1 FDD,,,CCR.1.1 FDD,,
OCNG Pattern,,OP.1 defined in A.3.2.1,,,OP.1 defined in A.3.2.1,,
Initial DL BWP configuration,,DLBWP.0.1,,,DLBWP.0.1,,
Initial UL BWP configuration,,ULBWP.0.1,,,ULBWP.0.1,,
SSB configuration,,SSB.1 FR1,,,SSB.5 FR1,,
SMTC configuration,,#1: SMTC.2 for Cell 1#2: SMTC.5 for Cell 2,,,#1: SMTC.6 for Cell 1#2: SMTC.5 for Cell 2,,
RLM-RS,,SSB,,,SSB,,
Qrxlevmin,dBm/SCS,-130,,,-130,,
Pcompensation,dB,0,,,0,,
Qhysts,dB,0,,,0,,
"Qoffsets, n",dB,0,,,0,,
Cell_selection_and_reselection_quality_measurement,,SS-RSRP,,,SS-RSRP,,
,dB,16,-3.11,2.79,-infinity,2.79,-3.11
Note2,dBm/SCS,-98,,,,,
Note2,dBm/15 kHz,-98,,,,,
,dB,16,13,16,-infinity,16,13
SS-RSRP Note3,dBm/SCS,-82,-85,-82,-infinity,-82,-85
Io,dBm/9.36 MHz,-53.94,-52.21,-52.21,Same as parameters specified in Cell 1 columns-,,
Treselection,s,0,0,0,0,0,0
SintrasearchP,dB,60,,,60,,
Propagation Condition,,AWGN,,,,,
