Parameter,,Unit,Test configuration,Cell 1,,Cell 2,,Cell 3,,
,,,,T1,T2,T1,T2,T1,T2,
NR RF Channel Number,,,"Config 1,2",1,,2,,2,,
Satellite information,,,Config 1,SSC.1,,NSC.1,,,,
,,,Config 2,SSC.2,,NSC.2,,,,
Duplex mode,,,"Config 1,2",FDD,,,,,,
BWchannel,,MHz,"Config 1,2","10: NPRB,c = 52",,,,,,
BWP BW,,MHz,"Config 1,2","10: NPRB,c = 52",,,,,,
BWP configuration,Initial DL BWP,,"Config 1,2",DLBWP.0.1,,NA,,NA,,
,Initial UL BWP,,,ULBWP.0.1,,NA,,NA,,
,Dedicated DL BWP,,,DLBWP.1.1,,NA,,NA,,
,Dedicated UL BWP,,,ULBWP.1.1,,NA,,NA,,
TRS configuration,,,"Config 1,2",TRS.1.1 FDD,,NA,,NA,,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,,"Config 1,2",OP.1,,OP.1,,OP.1,,
PDSCH Reference measurement channel,,,"Config 1,2",SR.1.1 FDD,,,,,,
RMSI CORESET Reference Channel,,,"Config 1,2",CR.1.1 FDD,,,,,,
Dedicated CORESET Reference Channel,,,"Config 1,2",CCR.1.1 FDD,,,,,,
SSB parameters,,,"Config 1,2",SSB.1 FR1,,SSB.1 FR1,,SSB.1 FR1,,
SMTC configuration defined in A.3.11,,,"Config 1,2",SMTC.2,,SMTC.2,,SMTC.12,,
PDSCH/PDCCH subcarrier spacing,,kHz,"Config 1,2",15,,,,,,
EPRE ratio of PSS to SSS,,,"Config 1,2",0,,0,,0,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,,
Note2,,dBm/15 kHz,"Config 1,2",-98,,-98,,-98,,
Note2,,dBm/SCS,"Config 1,2",-98,,-98,,-98,,
SS-RSRP Note 3,,dBm/SCS,"Config 1,2",-94,-94,-Infinity,-91,-Infinity,,-91
,,dB,"Config 1,2",4,4,-Infinity,-0.79,-Infinity,,-0.79
,,dB,"Config 1,2",4,4,-Infinity,7,-Infinity,,7
IoNote3,,dBm/9.36 MHz,"Config 1,2",-64.59,-64.59,-70.05,-59.62,-70.05,,-59.62
Propagation Condition,,,"Config 1,2",AWGN,,AWGN,,AWGN,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.,,,,,,,,,,
